gene a,gene b,cell line,interaction
UBE2B,NF2,A427,non-sl
FBH1,RECQL4,A427,non-sl
HDAC6,SF3B1,A427,non-sl
CTNNB1,DCC,A427,non-sl
PARP3,MSH2,A427,non-sl
POLH,NF2,A427,non-sl
HDAC6,APEX1,A427,non-sl
CTNNB1,EGFR,A427,non-sl
PARP16,VHL,A427,non-sl
KAT5,NF1,A427,non-sl
PARP16,TTN,A427,non-sl
UBE2I,GATA3,A427,non-sl
SHPRH,TP53,A427,non-sl
BRD4,RAD54B,A427,non-sl
POLE,EIF1AX,A427,non-sl
SHPRH,CDKN2A,A427,non-sl
SMYD2,ARID1A,A427,non-sl
UHRF1,NBN,A427,non-sl
BLM,PARP1,A427,non-sl
RAD52,KMT2D,A427,non-sl
CDK4,MYC,A427,non-sl
UBE2A,TTN,A427,non-sl
SAE1,MYC,A427,non-sl
TAF1,SF3B1,A427,non-sl
DGKA,NBN,A427,non-sl
EXO1,GNAQ,A427,non-sl
CARM1,SF3B1,A427,non-sl
RNF8,GNAQ,A427,non-sl
POLQ,BAP1,A427,non-sl
BRD7,RAD54B,A427,non-sl
DGKA,NF1,A427,non-sl
SMARCA2,MUTYH,A427,non-sl
GEN1,CHEK2,A427,non-sl
DUT,EGFR,A427,non-sl
PRMT5,NOTCH1,A427,non-sl
PRKACA,FANCD2,A427,non-sl
KIF11,MRE11,A427,non-sl
CARM1,BAP1,A427,non-sl
PARP6,CDKN2B,A427,non-sl
RAD18,SETD2,A427,non-sl
PARP4,MYC,A427,non-sl
EED,ERCC1,A427,non-sl
GNAQ,CHEK2,A427,non-sl
TMEM173,NOTCH1,A427,non-sl
TOP1,RAD50,A427,non-sl
UBE2I,MSH6,A427,non-sl
PARP3,NBN,A427,non-sl
ERBB2,RECQL4,A427,non-sl
PIF1,SF3B1,A427,non-sl
POLH,NPM1,A427,non-sl
CASP8,BAP1,A427,non-sl
PARG,PALB2,A427,non-sl
PARP15,PTEN,A427,non-sl
FBH1,RUNX1,A427,non-sl
POLE,KDM6A,A427,non-sl
UBE2A,TET2,A427,non-sl
XRCC6,MSH2,A427,non-sl
SRC,RB1,A427,non-sl
SAE1,NF1,A427,non-sl
SMARCA2,NBN,A427,non-sl
CASP8,FANCM,A427,non-sl
PRKACA,NOTCH1,A427,non-sl
RNF8,BRIP1,A427,non-sl
POLQ,MYC,A427,non-sl
PRKDC,FBXW7,A427,non-sl
AURKA,EIF1AX,A427,non-sl
TDP1,NBN,A427,non-sl
PARP10,PTEN,A427,non-sl
GNAS,CHEK2,A427,non-sl
PRKACA,FBXW7,A427,non-sl
ERCC4,CREBBP,A427,non-sl
PRKDC,PALB2,A427,non-sl
TMEM173,GNAQ,A427,non-sl
CDK9,PIK3CA,A427,non-sl
VEGFA,PTEN,A427,non-sl
MAP2K1,MLH1,A427,non-sl
MUS81,RUNX1,A427,non-sl
POLE,KRAS,A427,non-sl
POLQ,CREBBP,A427,non-sl
UBE2I,BRCA2,A427,non-sl
SHPRH,NF2,A427,non-sl
BRD7,STK11,A427,non-sl
CDC7,FANCM,A427,non-sl
PARP12,DCC,A427,non-sl
SAE1,ARID1A,A427,non-sl
HLTF,GNAS,A427,non-sl
MYC,NPM1,A427,non-sl
TNKS,GNAQ,A427,non-sl
TDP2,CDKN2A,A427,non-sl
HDAC6,CREBBP,A427,non-sl
RAD18,RUNX1,A427,non-sl
RAD54L,ERCC1,A427,non-sl
LIG3,MSH2,A427,non-sl
PARP4,XRCC1,A427,non-sl
SMARCA2,NF1,A427,non-sl
PARP4,MUTYH,A427,non-sl
AURKA,CDKN2B,A427,non-sl
UHRF1,MRE11,A427,non-sl
CDK7,MSH6,A427,non-sl
