gene a,gene b,synonym a,synonym b,cell line,phenotype,additional notes,interaction
NRAS,ICMT,ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6,HSTE14|MST098|MSTP098|PCCMT|PCMT|PPMT,Ras oncogenic mutant cell lines,Growth abnormality|viability,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
NRAS,RAF1,ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6,CMD1NN|CRAF|NS5|Raf-1|c-Raf,Ras oncogenic mutant cell lines,Growth abnormality|viability,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
NRAS,SHOC2,ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6,SIAA0862|SOC2|SUR8,Ras oncogenic mutant cell lines,Growth abnormality|viability,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
NRAS,PREX1,ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6,P-REX1,Ras oncogenic mutant cell lines,Growth abnormality|viability,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
NRAS,GOLGA7,ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6,GCP16|GOLGA3AP1|GOLGA7A|HSPC041,Ras oncogenic mutant cell lines,viability|Growth abnormality,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines-NRAS|Negative genetic,synthetic lethality
HSP90AA1,LLGL1,EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2,DLG4|HUGL|HUGL-1|HUGL1|LLGL,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug AUY922|HeLa cervical cancer cell line,synthetic lethality
HSP90AA1,RB1,EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2,OSRC|PPP1R130|RB|p105-Rb|pRb|pp110,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug AUY922|HeLa cervical cancer cell line,synthetic lethality
HSP90AA1,FZR1,EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2,CDC20C|CDH1|FZR|FZR2|HCDH|HCDH1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug AUY922|HeLa cervical cancer cell line,synthetic lethality
HSP90AA1,MCL1,EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2,BCL2L3|EAT|MCL1-ES|MCL1L|MCL1S|Mcl-1|TM|bcl2-L-3|mcl1/EAT,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug AUY922|HeLa cervical cancer cell line,synthetic lethality
HSP90AA1,CDKN1B,EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2,CDKN4|KIP1|MEN1B|MEN4|P27KIP1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug AUY922|HeLa cervical cancer cell line,synthetic lethality
HSP90AA1,ATR,EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2,FCTCS|FRP1|MEC1|SCKL|SCKL1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug AUY922|HeLa cervical cancer cell line,synthetic lethality
CHEK2,WEE1,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,WEE1A|WEE1hu,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,CHEK1,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,CHK1,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,CDC6,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,CDC18L|HsCDC18|HsCDC6,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,CDC73,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,C1orf28|FIHP|HPTJT|HRPT1|HRPT2|HYX,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,BLM,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,BS|RECQ2|RECQL2|RECQL3,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,RFC1,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,A1|MHCBFB|PO-GA|RECC1|RFC|RFC140,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,RAD17,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,CCYC|HRAD17|R24L|RAD17SP|RAD24,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,FZR1,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,CDC20C|CDH1|FZR|FZR2|HCDH|HCDH1,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,ATAD5,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,C17orf41|ELG1|FRAG1,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,LLGL1,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,DLG4|HUGL|HUGL-1|HUGL1|LLGL,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,CDC14A,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,cdc14|hCDC14,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,RPS10,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,DBA9|S10,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,WRN,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,RECQ3|RECQL2|RECQL3,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,ATR,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,FCTCS|FRP1|MEC1|SCKL|SCKL1,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,DAAM1,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,-,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,TTN,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK2,BRD4,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,CAP|HUNK1|HUNKI|MCAP,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,WEE1,CHK1,WEE1A|WEE1hu,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,CDC6,CHK1,CDC18L|HsCDC18|HsCDC6,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,CDC73,CHK1,C1orf28|FIHP|HPTJT|HRPT1|HRPT2|HYX,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|Drug: MK-8776|HeLa cervical cancer cell line",synthetic lethality
CHEK1,BLM,CHK1,BS|RECQ2|RECQL2|RECQL3,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|Drug: MK-8776|HeLa cervical cancer cell line",synthetic lethality
CHEK1,RFC1,CHK1,A1|MHCBFB|PO-GA|RECC1|RFC|RFC140,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,RAD17,CHK1,CCYC|HRAD17|R24L|RAD17SP|RAD24,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,FZR1,CHK1,CDC20C|CDH1|FZR|FZR2|HCDH|HCDH1,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,ATAD5,CHK1,C17orf41|ELG1|FRAG1,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,LLGL1,CHK1,DLG4|HUGL|HUGL-1|HUGL1|LLGL,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,CDC14A,CHK1,cdc14|hCDC14,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|Drug: MK-8776|HeLa cervical cancer cell line",synthetic lethality
CHEK1,RPS10,CHK1,DBA9|S10,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,WRN,CHK1,RECQ3|RECQL2|RECQL3,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|Drug: MK-8776|HeLa cervical cancer cell line",synthetic lethality
CHEK1,ATR,CHK1,FCTCS|FRP1|MEC1|SCKL|SCKL1,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,DAAM1,CHK1,-,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,TTN,CHK1,CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|HeLa cervical cancer cell line",synthetic lethality
CHEK1,BRD4,CHK1,CAP|HUNK1|HUNKI|MCAP,HeLa cell,Growth abnormality,"CHEK1,CHEK2 double mutant as drug target|Chemo-genetic screen with siRNAs|Drug AZD7762|Drug: MK-8776|HeLa cervical cancer cell line",synthetic lethality
CSNK2A1,APC,CK2A1|CKII|CSNK2A3,BTPS2|DP2|DP2.5|DP3|GS|PPP1R46,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Casein Kinase II Inhibitor III|HeLa cervical cancer cell line,synthetic lethality
CSNK2A1,ATAD5,CK2A1|CKII|CSNK2A3,C17orf41|ELG1|FRAG1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Casein Kinase II Inhibitor III|HeLa cervical cancer cell line,synthetic lethality
CSNK2A1,STK11,CK2A1|CKII|CSNK2A3,LKB1|PJS|hLKB1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Casein Kinase II Inhibitor III|HeLa cervical cancer cell line,synthetic lethality
ALDH2,RPL11,ALDH-E2|ALDHI|ALDM,DBA7|GIG34|L11,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Disulfiram|HeLa cervical cancer cell line,synthetic lethality
ALDH2,ARID1A,ALDH-E2|ALDHI|ALDM,B120|BAF250|BAF250a|BM029|C1orf4|ELD|MRD14|OSA1|P270|SMARCF1|hELD|hOSA1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Disulfiram|HeLa cervical cancer cell line,synthetic lethality
ALDH2,XRCC3,ALDH-E2|ALDHI|ALDM,CMM6,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Disulfiram|HeLa cervical cancer cell line,synthetic lethality
ALDH2,ATAD5,ALDH-E2|ALDHI|ALDM,C17orf41|ELG1|FRAG1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Disulfiram|HeLa cervical cancer cell line,synthetic lethality
ALDH2,APC,ALDH-E2|ALDHI|ALDM,BTPS2|DP2|DP2.5|DP3|GS|PPP1R46,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Disulfiram|HeLa cervical cancer cell line,synthetic lethality
ALDH2,PHB2,ALDH-E2|ALDHI|ALDM,BAP|BCAP37|Bap37|PNAS-141|REA|p22,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Disulfiram|HeLa cervical cancer cell line,synthetic lethality
ALDH2,RAD23B,ALDH-E2|ALDHI|ALDM,HHR23B|HR23B|P58,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Disulfiram|HeLa cervical cancer cell line,synthetic lethality
MTOR,CHEK1,FRAP|FRAP1|FRAP2|RAFT1|RAPT1,CHK1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Everolimus|HeLa cervical cancer cell line,synthetic lethality
MTOR,YWHAZ,FRAP|FRAP1|FRAP2|RAFT1|RAPT1,14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: Everolimus|HeLa cervical cancer cell line,synthetic lethality
ADA,WEE1,-,WEE1A|WEE1hu,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: fludarabine|HeLa cervical cancer cell line,synthetic lethality
ADA,CHEK1,-,CHK1,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: fludarabine|HeLa cervical cancer cell line,synthetic lethality
ADA,BLM,-,BS|RECQ2|RECQL2|RECQL3,HeLa cell,Growth abnormality,Chemo-genetic screen with siRNAs|Drug: fludarabine|HeLa cervical cancer cell line,synthetic lethality
TOP1,CHEK1,TOPI,CHK1,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,BRCA2,TOPI,BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,WEE1,TOPI,WEE1A|WEE1hu,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,PALB2,TOPI,FANCN|PNCA3,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,RAD17,TOPI,CCYC|HRAD17|R24L|RAD17SP|RAD24,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,LLGL1,TOPI,DLG4|HUGL|HUGL-1|HUGL1|LLGL,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,MSH2,TOPI,COCA1|FCC1|HNPCC|HNPCC1|LCFS2,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,NF1,TOPI,NFNS|VRNF|WSS,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,RPS11,TOPI,S11,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,CDC73,TOPI,C1orf28|FIHP|HPTJT|HRPT1|HRPT2|HYX,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,CDC6,TOPI,CDC18L|HsCDC18|HsCDC6,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,MAP3K4,TOPI,MAPKKK4|MEKK 4|MEKK4|MTK1|PRO0412,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,TTN,TOPI,CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP1,FH,TOPI,HLRCC|LRCC|MCL|MCUL1,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,CHEK1,TOP2|TP2A,CHK1,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,BRCA2,TOP2|TP2A,BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,WEE1,TOP2|TP2A,WEE1A|WEE1hu,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,PALB2,TOP2|TP2A,FANCN|PNCA3,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,RAD17,TOP2|TP2A,CCYC|HRAD17|R24L|RAD17SP|RAD24,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,LLGL1,TOP2|TP2A,DLG4|HUGL|HUGL-1|HUGL1|LLGL,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,MSH2,TOP2|TP2A,COCA1|FCC1|HNPCC|HNPCC1|LCFS2,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,NF1,TOP2|TP2A,NFNS|VRNF|WSS,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,RPS11,TOP2|TP2A,S11,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,CDC73,TOP2|TP2A,C1orf28|FIHP|HPTJT|HRPT1|HRPT2|HYX,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,CDC6,TOP2|TP2A,CDC18L|HsCDC18|HsCDC6,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,MAP3K4,TOP2|TP2A,MAPKKK4|MEKK 4|MEKK4|MTK1|PRO0412,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
TOP2A,TTN,TOP2|TP2A,CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD,HeLa cell,Growth abnormality,"Chemo-genetic screen with siRNAs|Drug target: TOP1,TOP2A,TOP3A triple mutant|Drug: irinotecan|HeLa cervical cancer cell line",synthetic lethality
