gene a,gene b,cell line,interaction,correlation,p_value,adjusted_p_value
ADA,CHEK1,HeLa cell,synthetic lethality,-0.04824036359786987,0.0797705203294754,0.2101791948080063
CHEK1,CDC6,HeLa cell,synthetic lethality,0.15776187181472778,8.289433139907487e-09,6.998537287472573e-07
CSK,TCTN3,T47D,synthetic lethality,-0.018414033576846123,0.5038540959358215,0.6870082020759583
CSK,KBTBD4,T47D,synthetic lethality,-0.04126668721437454,0.1340004950761795,0.2977277636528015
CSK,CD80,T47D,synthetic lethality,0.031760916113853455,0.24885740876197815,0.4452325403690338
CSK,CASP5,T47D,synthetic lethality,0.0020419617649167776,0.9409165382385254,0.9702456593513489
CSK,TMEM108,T47D,synthetic lethality,0.02514135092496872,0.36139532923698425,0.5623487830162048
CSK,LRRC59,T47D,synthetic lethality,-0.01740388013422489,0.5275416374206543,0.7058062553405762
WEE1,WRN,HeLa cell,synthetic lethality,-0.07026520371437073,0.010661576874554157,0.05100325495004654
ALDH2,RAD23B,HeLa cell,synthetic lethality,-0.08783356845378876,0.0014016848290339112,0.011376699432730675
CSK,C1orf185,T47D,synthetic lethality,,,
CSK,AMPD3,T47D,synthetic lethality,0.016766373068094254,0.5427774786949158,0.71763014793396
CSK,ANO10,T47D,synthetic lethality,0.03150706738233566,0.2526617646217346,0.4495490789413452
CSK,SUFU,T47D,synthetic lethality,0.0386100597679615,0.16092512011528015,0.3359192907810211
CSK,FAM20C,T47D,synthetic lethality,-0.024738013744354248,0.36915215849876404,0.5697323679924011
CSK,VPS13B,T47D,synthetic lethality,-0.010272262617945671,0.7092480659484863,0.8353754281997681
RABGGTB,RPS19,HeLa cell,synthetic lethality,0.08354785293340683,0.002382479840889573,0.016936203464865685
CSK,DDHD2,T47D,synthetic lethality,0.03888518735766411,0.15796037018299103,0.33184728026390076
CSK,PPP2R5B,T47D,synthetic lethality,-0.02219059318304062,0.42049679160118103,0.6167205572128296
CSK,CFTR,T47D,synthetic lethality,-0.017635902389883995,0.5220510959625244,0.7014902830123901
CSK,ATP11B,T47D,synthetic lethality,0.004087291657924652,0.8820597529411316,0.9387897849082947
IMPDH1,CHEK1,HeLa cell,synthetic lethality,-0.035188477486371994,0.20137450098991394,0.38871392607688904
CSK,ARF5,T47D,synthetic lethality,-0.09131671488285065,0.0008953514625318348,0.008106458932161331
CHEK2,CDC6,HeLa cell,synthetic lethality,0.08900170028209686,0.0012081274762749672,0.01017057802528143
CSK,EPYC,T47D,synthetic lethality,0.0564265213906765,0.040387045592069626,0.13153226673603058
CSK,HIST3H2BB,T47D,synthetic lethality,,,
CSK,NCR2,T47D,synthetic lethality,-0.0684301033616066,0.012891625054180622,0.05850091949105263
CSK,FBXO7,T47D,synthetic lethality,0.05383412539958954,0.050616875290870667,0.15385644137859344
CSK,MS4A10,T47D,synthetic lethality,0.03348669409751892,0.22405336797237396,0.416343629360199
