gene a,gene b,synonym a,synonym b,cell line,phenotype,additional notes,interaction
BLM,RPS19,BS|RECQ2|RECQL2|RECQL3,DBA|DBA1|S19,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,MORF4L2,BS|RECQ2|RECQL2|RECQL3,MORFL2|MRGX,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,HIST1H2AI,BS|RECQ2|RECQL2|RECQL3,H2A/c|H2AFC,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,NDUFA13,BS|RECQ2|RECQL2|RECQL3,B16.6|CDA016|GRIM-19|GRIM19,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,KLF16,BS|RECQ2|RECQL2|RECQL3,BTEB4|DRRF|NSLP2,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,CSNK2B,BS|RECQ2|RECQL2|RECQL3,CK2B|CK2N|CSK2B|G5A,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,CARS2,BS|RECQ2|RECQL2|RECQL3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,AKR1B1,BS|RECQ2|RECQL2|RECQL3,ADR|ALDR1|ALR2|AR,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RAMP1,BS|RECQ2|RECQL2|RECQL3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,PSMD1,BS|RECQ2|RECQL2|RECQL3,P112|Rpn2|S1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,HES5,BS|RECQ2|RECQL2|RECQL3,bHLHb38,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RPL23A,BS|RECQ2|RECQL2|RECQL3,L23A|MDA20,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,URI1,BS|RECQ2|RECQL2|RECQL3,C19orf2|NNX3|PPP1R19|RMP|URI,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,CEBPD,BS|RECQ2|RECQL2|RECQL3,C/EBP-delta|CELF|CRP3|NF-IL6-beta,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,PRPF31,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,NY-BR-99|PRP31|RP11|SNRNP61,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,JMJD4,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,KMT2E,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,HDCMC04P|MLL5|NKp44L,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,MTNR1A,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,MEL-1A-R|MT1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,DIRAS3,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,ARHI|NOEY2,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,RPS19,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,DBA|DBA1|S19,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,ZNF764,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,SVIL,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,RNFT1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,KDM5B,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,CT31|JARID1B|PLU-1|PLU1|PPP1R98|PUT1|RBBP2H1A,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,CD83,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,BL11|HB15,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,CWC22,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,EIF4GL|NCM|fSAPb,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,MFHAS1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,LRRC65|MASL1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,TTC27,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,NXT2,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,P15-2,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,PNPLA4,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,DXS1283E|GS2|iPLA2eta,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,SFPQ,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,POMP100|PPP1R140|PSF,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,SNRPF,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,SMF|Sm-F|snRNP-F,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,NUP98,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,ADIR2|NUP196|NUP96,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,TBC1D8,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,AD3|HBLP1|TBC1D8A|VRP,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,LMLN,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,GP63|INV|IX14|MSP,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,ANAPC10,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,APC10|DOC1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,C12orf66,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,HKDC1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,NONO,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,NMT55|NRB54|P54|P54NRB|PPP1R114,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,SLC9A8,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,NHE-8|NHE8,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,ADAM10,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,AD10|AD18|CD156c|HsT18717|MADM|RAK|kuz,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,RILPL2,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,RLP2,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,RPL18A,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,L18A,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,PRPF3,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,HPRP3|HPRP3P|PRP3|Prp3p|RP18|SNRNP90,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,COCH,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,COCH-5B2|COCH5B2|DFNA9,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,SNRPD2,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,SMD2|SNRPD1|Sm-D2,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,NAB1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,NAPA,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,SNAPA,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,LTA4H,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,C16orf72,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,PRO0149,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,STK32A,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,YANK1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,BCAS2,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,DAM1|SPF27|Snt309,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,CCDC114,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,CILD20,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,NHEJ1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,XLF,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,CREBBP,SLX3,CBP|KAT3A|RSTS,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,ZNF496,SLX3,NIZP1|ZFP496|ZKSCAN17|ZSCAN49,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,ATXN7L1,SLX3,ATXN7L4,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,ZNF181,SLX3,HHZ181,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,BRD9,SLX3,LAVS3040|PRO9856,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,LTK,SLX3,TYK1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,TMEM209,SLX3,NET31,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,ZNF17,SLX3,HPF3|KOX10,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,ZNF358,SLX3,ZFEND,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,FANCD2,SLX3,FA-D2|FA4|FACD|FAD|FAD2|FANCD,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,CCT7,SLX3,CCTETA|CCTH|NIP7-1|TCP1ETA,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,PLEK2,SLX3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,TRAF6,SLX3,MGC:3310|RNF85,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,CDK5RAP2,SLX3,C48|Cep215|MCPH3,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,POLD2,SLX3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,SREK1,SLX3,SFRS12|SRrp508|SRrp86,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,TIMELESS,SLX3,TIM|TIM1|hTIM,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,POLR2L,SLX3,RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,DNAJB9,SLX3,ERdj4|MDG-1|MDG1|MST049|MSTP049,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,RPS3,SLX3,S3,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,KPNA6,SLX3,IPOA7|KPNA7,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,TFB1M,SLX3,CGI75|mtTFB|mtTFB1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,TRIM24,SLX3,PTC6|RNF82|TF1A|TIF1|TIF1A|TIF1ALPHA|hTIF1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,RAMP1,SLX3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,BRAF,SLX3,B-RAF1|BRAF1|NS7|RAFB1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,STIL,SLX3,MCPH7|SIL,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,ZNF142,SLX3,pHZ-49,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,RFC1,SLX3,A1|MHCBFB|PO-GA|RECC1|RFC|RFC140,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,IDH2,SLX3,D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,DDX23,SLX3,PRPF28|SNRNP100|U5-100K|U5-100KD|prp28,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,GTPBP8,SLX3,HSPC135,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,MDFI,SLX3,I-MF|I-mfa,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,WRN,SLX3,RECQ3|RECQL2|RECQL3,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,SAMD4B,SLX3,SMGB|hSmaug2,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,DUS3L,SLX3,DUS3,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,INO80,SLX3,INO80A|INOC1|hINO80,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,ALMS1,SLX3,ALSS,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,SNW1,SLX3,Bx42|NCOA-62|PRPF45|Prp45|SKIIP|SKIP,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,PIGB,SLX3,GPI-MT-III|PIG-B,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,VCP,SLX3,ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,POLR3K,SLX3,C11|C11-RNP3|RPC10|RPC11|RPC12.5,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,XIAP,SLX3,API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,ELK4,SLX3,SAP1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,RFTN1,SLX3,PIB10|PIG9|RAFTLIN,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,BLOC1S1,SLX3,BLOS1|GCN5L1|MICoA|RT14,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,SFPQ,SLX3,POMP100|PPP1R140|PSF,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,KIAA2026,SLX3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,VWCE,SLX3,URG11|VWC1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,MBP,SLX3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,PCNXL2,SLX3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
MUS81,SF3A2,SLX3,PRP11|PRPF11|SAP62|SF3a66,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,TXNDC11,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,EFP1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,CFB,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,YME1L1,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,FTSH|MEG4|PAMP|YME1L,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,SUV39H1,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,H3-K9-HMTase 1|KMT1A|MG44|SUV39H,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,HES5,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,bHLHb38,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,GPER1,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,CEPR|CMKRL2|DRY12|FEG-1|GPCR-Br|GPER|GPR30|LERGU|LERGU2|LyGPR|mER,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,MXD1,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,BHLHC58|MAD|MAD1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,TTC31,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,EME2,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,SLX2B|gs125,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,OPRL1,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,KOR-3|NOCIR|OOR|ORL1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,OSBP2,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,HLM|ORP-4|ORP4|OSBPL1|OSBPL4,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,RFTN1,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,PIB10|PIG9|RAFTLIN,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTEN,PBX3,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
