gene a,gene b,cell line,interaction
SETD7,RAD50,A549,non-sl
DNMT1,GNAQ,A549,non-sl
CDC7,RAD17,A549,non-sl
PIF1,RAD50,A549,non-sl
MAP2K1,BRIP1,A549,non-sl
TDP2,RAD50,A549,non-sl
ERCC2,RAD17,A549,non-sl
PIF1,TP53,A549,non-sl
WRN,KDM6A,A549,non-sl
PARP10,RAD17,A549,non-sl
PRKDC,KDM6A,A549,non-sl
POLG,RAD17,A549,non-sl
POLM,KDM5C,A549,non-sl
BRD9,TP53,A549,non-sl
APEX2,MRE11,A549,non-sl
HDAC1,SETD2,A549,non-sl
PRKDC,MYC,A549,non-sl
XPA,NF2,A549,non-sl
PARP14,TP53,A549,non-sl
CDK9,RAD17,A549,non-sl
DUT,GNAS,A549,non-sl
TOP1,BAP1,A549,non-sl
TYMS,POLE,A549,non-sl
HRAS,TOP1,A549,non-sl
POLK,STK11,A549,non-sl
KAT5,BRCA1,A549,non-sl
CHEK2,NF1,A549,non-sl
PARG,BRIP1,A549,non-sl
WRN,KMT2D,A549,non-sl
RAD52,RAD50,A549,non-sl
PARP1,CDKN2A,A549,non-sl
ERCC2,MAP2K1,A549,non-sl
RAD1,RAD54B,A549,non-sl
AKT1,RB1,A549,non-sl
KRAS,FBXW7,A549,non-sl
XPA,ATR,A549,non-sl
POLG,PTEN,A549,non-sl
PRKDC,BRCA2,A549,non-sl
HLTF,MSH6,A549,non-sl
LIG1,FBXW7,A549,non-sl
VRK1,PTEN,A549,non-sl
SRC,RAD50,A549,non-sl
LIG3,FAT1,A549,non-sl
BRD9,RAD50,A549,non-sl
MAPK1,ERCC1,A549,non-sl
LIG3,PALB2,A549,non-sl
TOP3B,SMAD4,A549,non-sl
RAD54L,MAP2K1,A549,non-sl
HDAC2,KDM6A,A549,non-sl
HLTF,APC,A549,non-sl
KIF11,MGMT,A549,non-sl
EGFR,ATM,A549,non-sl
KIF11,MRE11,A549,non-sl
FEN1,RAD50,A549,non-sl
REV3L,POLE,A549,non-sl
SRC,RAD17,A549,non-sl
HSP90AA1,VHL,A549,non-sl
UBE2A,TP53,A549,non-sl
WRN,NF1,A549,non-sl
XRCC6,SMARCA4,A549,non-sl
EHMT2,SF3B1,A549,non-sl
MAP2K1,ATM,A549,non-sl
PARP9,RAD50,A549,non-sl
FGFR3,ATM,A549,non-sl
HDAC6,KDM6A,A549,non-sl
SMO,PTEN,A549,non-sl
TOP3B,STK11,A549,non-sl
TMEM173,PTEN,A549,non-sl
POLK,FAT1,A549,non-sl
POLB,RAD17,A549,non-sl
KAT5,RAD50,A549,non-sl
HSP90AA1,RAD50,A549,non-sl
LIG3,FBXW7,A549,non-sl
