gene a,gene b,cell line,interaction
NRAS,CREBBP,A427,non-sl
REV3L,RUNX1,A427,non-sl
PRKDC,NF1,A427,non-sl
SRC,GNAQ,A427,non-sl
PARP11,MLH1,A427,non-sl
MUS81,RB1,A427,non-sl
CDK1,BRCA2,A427,non-sl
SHPRH,NBN,A427,non-sl
ERBB2,TTN,A427,non-sl
REV1,SF3B1,A427,non-sl
PARP1,APC,A427,non-sl
MTOR,PDE4D,A427,non-sl
KAT5,SETD2,A427,non-sl
MTOR,TTN,A427,non-sl
MUS81,TET2,A427,non-sl
XRCC6,SETD2,A427,non-sl
TIPARP,FANCD2,A427,non-sl
KIF11,SF3B1,A427,non-sl
JAK2,RAD54B,A427,non-sl
DGKA,GNAQ,A427,non-sl
NRAS,NOTCH1,A427,non-sl
RNF8,ERCC1,A427,non-sl
RECQL4,SF3B1,A427,non-sl
FEN1,FBXW7,A427,non-sl
PARP14,MSH6,A427,non-sl
PARP3,APC,A427,non-sl
DNMT1,GNAQ,A427,non-sl
TDP2,SMAD4,A427,non-sl
KAT5,RAD54B,A427,non-sl
MET,EIF1AX,A427,non-sl
