gene a,gene b,synonym a,synonym b,cell line,phenotype,additional notes,interaction
TP53,MDM2,BCC7|LFS1|P53|TRP53,ACTFS|HDMX|hdm2,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,RHOG,BCC7|LFS1|P53|TRP53,ARHG,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,COX7C,BCC7|LFS1|P53|TRP53,-,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,EIF5AL1,BCC7|LFS1|P53|TRP53,EIF5AP1|bA342M3.3,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,DDX5,BCC7|LFS1|P53|TRP53,G17P1|HLR1|HUMP68|p68,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,NDE1,BCC7|LFS1|P53|TRP53,HOM-TES-87|LIS4|MHAC|NDE|NUDE|NUDE1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,C14orf80,BCC7|LFS1|P53|TRP53,-,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,PLA2G12A,BCC7|LFS1|P53|TRP53,GXII|PLA2G12|ROSSY,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,NONO,BCC7|LFS1|P53|TRP53,NMT55|NRB54|P54|P54NRB|PPP1R114,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,OTUD5,BCC7|LFS1|P53|TRP53,DUBA,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,UBE2C,BCC7|LFS1|P53|TRP53,UBCH10|dJ447F3.2,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,TUBGCP2,BCC7|LFS1|P53|TRP53,GCP-2|GCP2|Grip103|SPBC97|Spc97p|h103p|hGCP2|hSpc97,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,UBR5,BCC7|LFS1|P53|TRP53,DD5|EDD|EDD1|HYD,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,BAZ1B,BCC7|LFS1|P53|TRP53,WBSCR10|WBSCR9|WSTF,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,PCBP2,BCC7|LFS1|P53|TRP53,HNRNPE2|HNRPE2|hnRNP-E2,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,NCF1,BCC7|LFS1|P53|TRP53,NCF1A|NOXO2|SH3PXD1A|p47phox,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,KNTC1,BCC7|LFS1|P53|TRP53,ROD,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,RNASEH2A,BCC7|LFS1|P53|TRP53,AGS4|JUNB|RNASEHI|RNHIA|RNHL,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,LSM12,BCC7|LFS1|P53|TRP53,PNAS-135,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,ZNF574,BCC7|LFS1|P53|TRP53,FP972,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,CREB1,BCC7|LFS1|P53|TRP53,CREB,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,KIF2C,BCC7|LFS1|P53|TRP53,CT139|KNSL6|MCAK,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,TCOF1,BCC7|LFS1|P53|TRP53,MFD1|TCS|TCS1|treacle,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,GID8,BCC7|LFS1|P53|TRP53,C20orf11|TWA1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,PPP2R3C,BCC7|LFS1|P53|TRP53,C14orf10|G4-1|G5pr,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,MST1,BCC7|LFS1|P53|TRP53,D3F15S2|DNF15S2|HGFL|MSP|NF15S2,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,PFDN1,BCC7|LFS1|P53|TRP53,PDF|PFD1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,APEX2,BCC7|LFS1|P53|TRP53,APE2|APEXL2|XTH2|ZGRF2,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,CRK,BCC7|LFS1|P53|TRP53,CRKII|p38,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,EXOC3,BCC7|LFS1|P53|TRP53,SEC6|SEC6L1|Sec6p,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,PDAP1,BCC7|LFS1|P53|TRP53,HASPP28|PAP|PAP1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,DSCC1,BCC7|LFS1|P53|TRP53,DCC1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,ADO,BCC7|LFS1|P53|TRP53,C10orf22,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,TSEN34,BCC7|LFS1|P53|TRP53,LENG5|PCH2C|SEN34|SEN34L,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,KANSL3,BCC7|LFS1|P53|TRP53,KIAA1310|NSL3|Rcd1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,EXOSC1,BCC7|LFS1|P53|TRP53,CGI-108|CSL4|Csl4p|SKI4|Ski4p|hCsl4p|p13,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
