candidate_genes,disease,celltype,y,user_question,full_query
"['LCK', 'WNK2', 'MAP4K3', 'FAM135A', 'NBEA']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,LCK,"Among LCK, WNK2, MAP4K3, FAM135A, and NBEA, which gene exhibits the highest cell-type specific expression in CD4-positive alpha‐beta cytotoxic T cells, making it the most promising candidate for targeted therapy of follicular lymphoma?","Among LCK, WNK2, MAP4K3, FAM135A, and NBEA, which gene exhibits the highest cell-type specific expression in CD4-positive alpha‐beta cytotoxic T cells, making it the most promising candidate for targeted therapy of follicular lymphoma? Identify validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the embeddings of activated cd4-positive alpha-beta cytotoxic T cells. Compute the average embedding for the overlapping gene set, then calculate the cosine similarity between this average and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['AKR7A3', 'NME1', 'PECR', 'TYK2', 'SCN8A']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,TYK2,"Which gene among AKR7A3, NME1, PECR, TYK2, and SCN8A exhibits the highest cell-type specificity in CD4-positive αβ cytotoxic T cells for targeting follicular lymphoma?","Which gene among AKR7A3, NME1, PECR, TYK2, and SCN8A exhibits the highest cell-type specificity in CD4-positive αβ cytotoxic T cells for targeting follicular lymphoma? Retrieve the validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Identify the genes that overlap with the cd4-positive alpha-beta cytotoxic T cell-activated genes from PINNACLE; these constitute the follicular lymphoma cell-type–specific targets. Compute the average embedding for this overlapping set and calculate the cosine similarity between this average and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['FKBP1A', 'CDH15', 'DPYSL2', 'ELOVL6', 'IGLV3-25']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,FKBP1A,"Which gene among FKBP1A, CDH15, DPYSL2, ELOVL6, and IGLV3-25 exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene among FKBP1A, CDH15, DPYSL2, ELOVL6, and IGLV3-25 exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of the CD4-positive alpha-beta cytotoxic T cell-activated genes in PINNACLE overlap with these targets. Compute the average embedding of this overlapping gene set as a reference, then calculate the cosine similarity between this reference and the embedding of each individual target. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TAFA1', 'LAG3', 'RHOH', 'ICAM1', 'FAHD1']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,LAG3,"Which gene—TAFA1, LAG3, RHOH, ICAM1, or FAHD1—exhibits the highest cell-type specificity in CD4-positive, αβ cytotoxic T cells for targeting follicular lymphoma?","Which gene—TAFA1, LAG3, RHOH, ICAM1, or FAHD1—exhibits the highest cell-type specificity in CD4-positive, αβ cytotoxic T cells for targeting follicular lymphoma? Identify validated therapeutic targets for follicular lymphoma using PINNACLE and retrieve their corresponding cell-type–specific embeddings. Next, determine the intersection between these targets and the cd4-positive alpha-beta cytotoxic T cell-activated gene set available in PINNACLE. Compute the average embedding of the overlapping genes as a reference, then calculate the cosine similarity between this average and each individual gene embedding. If one gene displays significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
"['TCHP', 'MDH1B', 'DRD5', 'ZNF804A', 'NDUFS6']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFS6,"Which gene among TCHP, MDH1B, DRD5, ZNF804A, and NDUFS6 shows the greatest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene among TCHP, MDH1B, DRD5, ZNF804A, and NDUFS6 shows the greatest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the CD4-positive alpha-beta cytotoxic T cell–activated genes in PINNACLE. Using this overlapping set as the follicular lymphoma targets, compute their average embedding to serve as a reference, and then calculate the cosine similarity between this reference and each individual target. If one gene demonstrates a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TAX1BP1', 'NDUFB9', 'USH1G', 'VGF', 'CYTOR']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFB9,"Among the genes TAX1BP1, NDUFB9, USH1G, VGF, and CYTOR, which shows the highest cell type-specific expression in CD4-positive αβ T cells for potential targeting of follicular lymphoma?","Among the genes TAX1BP1, NDUFB9, USH1G, VGF, and CYTOR, which shows the highest cell type-specific expression in CD4-positive αβ T cells for potential targeting of follicular lymphoma? Retrieve the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Identify the overlap between these targets and the CD4-positive alpha-beta cytotoxic T cell-activated genes in PINNACLE, defining this intersection as the cell-type–specific targets for follicular lymphoma. Calculate the average embedding for this set and determine the cosine similarity between this reference embedding and that of each individual target gene. If one gene exhibits a significantly higher cosine similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['IER3', 'PHETA2', 'DPYSL5', 'LMO4', 'NDUFS8']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFS8,"Which gene—IER3, PHETA2, DPYSL5, LMO4, or NDUFS8—demonstrates the greatest cell-type specificity in CD4-positive αβ cytotoxic T cells for potential targeting of follicular lymphoma?","Which gene—IER3, PHETA2, DPYSL5, LMO4, or NDUFS8—demonstrates the greatest cell-type specificity in CD4-positive αβ cytotoxic T cells for potential targeting of follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the CD4-positive alpha-beta cytotoxic T cell-activated genes in PINNACLE, and compute the average embedding for this overlapping set. Finally, calculate the cosine similarity between this average embedding and each individual target embedding; if one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['CLPP', 'AMN', 'PRKCB', 'INHBB', 'POP1']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,PRKCB,"Which gene among CLPP, AMN, PRKCB, INHBB, and POP1 exhibits the highest specificity for CD4-positive alpha-beta cytotoxic T cells, making it the most promising candidate for targeted therapy in follicular lymphoma?","Which gene among CLPP, AMN, PRKCB, INHBB, and POP1 exhibits the highest specificity for CD4-positive alpha-beta cytotoxic T cells, making it the most promising candidate for targeted therapy in follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and extract their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the cd4-positive alpha-beta cytotoxic T cell–activated genes in PINNACLE; this overlapping set represents the cell-type–specific targets for follicular lymphoma. Compute the average embedding of this set and calculate the cosine similarity between this reference embedding and that of each individual gene. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate, and provide a concise, evidence-based rationale for its biological relevance."
"['ADAM22', 'KLF15', 'FRG1', 'NDUFA10', 'BMP2']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFA10,"Among the genes ADAM22, KLF15, FRG1, NDUFA10, and BMP2, which shows the most cell-type-specific expression in CD4-positive alpha-beta cytotoxic T cells employed for targeting follicular lymphoma?","Among the genes ADAM22, KLF15, FRG1, NDUFA10, and BMP2, which shows the most cell-type-specific expression in CD4-positive alpha-beta cytotoxic T cells employed for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine which cd4-positive alpha-beta cytotoxic T cell‐activated genes in PINNACLE overlap with these targets to define the relevant cell-type–specific targets for follicular lymphoma. Compute the average embedding for this overlapping set as a reference, and then calculate the cosine similarity between this reference and each individual target gene. If one gene exhibits significantly higher similarity than all others, nominate it as the top candidate and provide a brief, evidence-based rationale for its biological relevance."
"['CYB5R1', 'RAB11FIP3', 'MYEF2', 'NDUFV1', 'DNAJC13']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFV1,"Which gene among CYB5R1, RAB11FIP3, MYEF2, NDUFV1, and DNAJC13 exhibits the greatest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene among CYB5R1, RAB11FIP3, MYEF2, NDUFV1, and DNAJC13 exhibits the greatest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from the PINNACLE database. Next, determine the intersection between these targets and the CD4-positive alpha-beta cytotoxic T cell-activated genes represented in PINNACLE. Compute the average embedding for this overlapping gene set, and then calculate the cosine similarity between this average and each individual gene embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NUP107', 'SVOP', 'NDUFC2', 'TMEM131', 'ETS2']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,NDUFC2,"Which gene among NUP107, SVOP, NDUFC2, TMEM131, and ETS2 exhibits the highest cell-type specificity in naive thymus-derived CD4+ alpha-beta T cells, making it the most promising candidate for targeting follicular lymphoma?","Which gene among NUP107, SVOP, NDUFC2, TMEM131, and ETS2 exhibits the highest cell-type specificity in naive thymus-derived CD4+ alpha-beta T cells, making it the most promising candidate for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and retrieve their cell-type-specific embeddings from PINNACLE. Next, determine the intersection between these targets and the naive thymus-derived CD4-positive alpha-beta T cell-activated genes cataloged in PINNACLE. For this overlapping gene set, calculate the average embedding as a reference vector and then compute the cosine similarity between this reference and each individual target’s embedding. If one gene exhibits a markedly higher similarity than the others, designate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance in follicular lymphoma."
"['C17orf50', 'PRKAA2', 'SERF2', 'INIP', 'NDUFC1']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,NDUFC1,"Which gene among C17orf50, PRKAA2, SERF2, INIP, and NDUFC1 exhibits the highest specificity for naive, thymus-derived, CD4-positive αβ T cells in the context of targeting follicular lymphoma?","Which gene among C17orf50, PRKAA2, SERF2, INIP, and NDUFC1 exhibits the highest specificity for naive, thymus-derived, CD4-positive αβ T cells in the context of targeting follicular lymphoma? Identify verified therapeutic targets for follicular lymphoma in PINNACLE and extract their cell-type–specific embeddings. Next, determine which genes among the naive thymus-derived CD4-positive αβ T cell-activated set in PINNACLE overlap with these targets. Calculate the average embedding for the overlapping genes as a reference, then compute the cosine similarity between this reference and each individual gene embedding. If one gene shows a significantly higher similarity compared to the others, nominate it as the top candidate therapeutic target and provide a concise, evidence-based rationale for its biological relevance."
"['MSL3', 'MAFA', 'LCP1', 'ZDHHC11', 'TUBB']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,TUBB,"Among the candidate genes MSL3, MAFA, LCP1, ZDHHC11, and TUBB, which exhibits the highest cell-type specificity in naïve, thymus-derived CD4+ αβ T cells for targeting follicular lymphoma?","Among the candidate genes MSL3, MAFA, LCP1, ZDHHC11, and TUBB, which exhibits the highest cell-type specificity in naïve, thymus-derived CD4+ αβ T cells for targeting follicular lymphoma? Identify validated therapeutic targets for follicular lymphoma and extract their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the naive thymus-derived CD4-positive alpha-beta T cell–activated genes in PINNACLE. Using this overlapping set, compute the average embedding as a reference and calculate the cosine similarity between this reference embedding and each individual target's embedding. If one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a brief, evidence-based rationale supporting its biological relevance."
"['GYPC', 'CENPU', 'NDUFA2', 'EVX2', 'OLIG2']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,NDUFA2,"Which gene among GYPC, CENPU, NDUFA2, EVX2, and OLIG2 shows the highest specificity in naive, thymus-derived CD4+ alpha-beta T cells for targeting follicular lymphoma?","Which gene among GYPC, CENPU, NDUFA2, EVX2, and OLIG2 shows the highest specificity in naive, thymus-derived CD4+ alpha-beta T cells for targeting follicular lymphoma? Using PINNACLE, identify the verified therapeutic targets for follicular lymphoma and retrieve their cell-type–specific embeddings. Next, determine which of these targets overlap with the naive thymus-derived CD4-positive alpha-beta T cell-activated genes, thereby defining the cell-type–specific targets for follicular lymphoma. Compute the average embedding of this overlapping set, then calculate the cosine similarity between this average and each individual target embedding. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['SPRR1B', 'KRTAP5-1', 'STRBP', 'HTR4', 'TOP2B']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,TOP2B,"Which gene—SPRR1B, KRTAP5-1, STRBP, HTR4, or TOP2B—exhibits the highest cell-type specificity in naive, thymus-derived CD4-positive αβ T cells for targeting follicular lymphoma?","Which gene—SPRR1B, KRTAP5-1, STRBP, HTR4, or TOP2B—exhibits the highest cell-type specificity in naive, thymus-derived CD4-positive αβ T cells for targeting follicular lymphoma? Retrieve the verified therapeutic targets for follicular lymphoma from PINNACLE and identify the overlapping genes with the naive thymus-derived, CD4-positive, αβ T cell-activated gene set. Using the cell-type–specific embeddings from PINNACLE, calculate the average embedding for these overlapping genes as a reference. Next, compute the cosine similarity between this reference and each individual target gene. If one gene shows a markedly higher similarity than the others, nominate it as the primary candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MBLAC2', 'DNMT1', 'MAGEB6', 'SLC9A1', 'TTC39A']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,DNMT1,"Which gene among MBLAC2, DNMT1, MAGEB6, SLC9A1, and TTC39A exhibits the highest cell type-specific expression in naive thymus-derived CD4-positive alpha-beta T cells, thereby representing the most promising target for follicular lymphoma?","Which gene among MBLAC2, DNMT1, MAGEB6, SLC9A1, and TTC39A exhibits the highest cell type-specific expression in naive thymus-derived CD4-positive alpha-beta T cells, thereby representing the most promising target for follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and extract their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the genes associated with naive thymus-derived, CD4-positive, alpha-beta T cell activation in PINNACLE. Compute the average embedding of this overlapping gene set as a reference, then calculate the cosine similarity between the reference and each target gene. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['LHFPL3', 'NDUFA5', 'MRPS31', 'RNF8', 'RUSF1']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,NDUFA5,"Among the genes LHFPL3, NDUFA5, MRPS31, RNF8, and RUSF1, which one exhibits the highest cell-type specificity in naive thymus-derived CD4+ αβ T cells, thereby representing the most promising target for follicular lymphoma?","Among the genes LHFPL3, NDUFA5, MRPS31, RNF8, and RUSF1, which one exhibits the highest cell-type specificity in naive thymus-derived CD4+ αβ T cells, thereby representing the most promising target for follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and extract their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the naive thymus-derived CD4-positive alpha-beta T cell activation gene set from PINNACLE. Compute the average embedding of this common set as a reference, then calculate the cosine similarity between this reference and each target gene's embedding. If one gene exhibits significantly higher similarity than the others, nominate it as the top candidate, providing a concise, evidence-based rationale for its relevance in follicular lymphoma."
"['C10orf62', 'PPP1R12C', 'NAA50', 'NDUFS4', 'C1orf105']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,NDUFS4,"Which gene among C10orf62, PPP1R12C, NAA50, NDUFS4, and C1orf105 shows the highest cell-type specificity in naive thymus-derived CD4+ alpha-beta T cells, thereby representing the optimal target for follicular lymphoma?","Which gene among C10orf62, PPP1R12C, NAA50, NDUFS4, and C1orf105 shows the highest cell-type specificity in naive thymus-derived CD4+ alpha-beta T cells, thereby representing the optimal target for follicular lymphoma? Identify the confirmed therapeutic targets for follicular lymphoma and extract their cell-type–specific embeddings from PINNACLE. Next, determine which genes associated with naive thymus-derived CD4-positive alpha-beta T cell activation in PINNACLE overlap with these targets, defining the cell-type–specific targets for follicular lymphoma. Compute the average embedding of this overlap as a reference, then calculate the cosine similarity between this reference and each individual target. If one gene shows a markedly higher similarity than the others, nominate it as the leading candidate and provide a concise, evidence-based rationale for its biological relevance."
"['BORCS5', 'NDUFS6', 'SPTBN2', 'WASHC2C', 'MCM8']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,NDUFS6,"Which gene among BORCS5, NDUFS6, SPTBN2, WASHC2C, and MCM8 exhibits the highest cell-type specificity in naive thymus-derived CD4+ alpha-beta T cells for targeting follicular lymphoma?","Which gene among BORCS5, NDUFS6, SPTBN2, WASHC2C, and MCM8 exhibits the highest cell-type specificity in naive thymus-derived CD4+ alpha-beta T cells for targeting follicular lymphoma? Identify validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of the naive thymus-derived CD4+ alpha-beta T cell–activated genes in PINNACLE overlap with these targets. Calculate the average embedding for this overlapping set and then compute the cosine similarity between the average and each individual target. If one gene shows a significantly higher similarity than the others, designate it as the prime candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TTLL7', 'CCNYL1', 'LHX6', 'PROX1', 'NDUFB11']",follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,NDUFB11,"Among the genes TTLL7, CCNYL1, LHX6, PROX1, and NDUFB11, which one exhibits the highest cell-type specificity in naive thymus-derived CD4+ αβ T cells for targeting follicular lymphoma?","Among the genes TTLL7, CCNYL1, LHX6, PROX1, and NDUFB11, which one exhibits the highest cell-type specificity in naive thymus-derived CD4+ αβ T cells for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the naive thymus‐derived CD4-positive αβ T cell–activated genes in PINNACLE, thereby defining the cell-type–specific targets for follicular lymphoma. Compute the average embedding of this overlapping set as a reference, then calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
