candidate_genes,disease,celltype,y,user_question,full_query
"['TRDV3', 'CD2', 'SNX31', 'TBPL2', 'SYNC']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,CD2,"Which gene among TRDV3, CD2, SNX31, TBPL2, and SYNC exhibits the greatest specificity in effector memory CD4⁺ αβ T cells for targeted interventions in rheumatoid arthritis?","Which gene among TRDV3, CD2, SNX31, TBPL2, and SYNC exhibits the greatest specificity in effector memory CD4⁺ αβ T cells for targeted interventions in rheumatoid arthritis? Identify the validated therapeutic targets for rheumatoid arthritis and retrieve their cell‐type–specific embeddings from the PINNACLE database. Next, determine which of these targets overlap with the effector memory CD4+ alpha‐beta T cell–activated genes available in PINNACLE, as these overlapping genes represent the cell‐type–specific targets. Compute the average embedding of this overlapping set as a reference, and then calculate the cosine similarity between this reference and each individual target embedding. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MYO3A', 'RPLP1', 'LINC01806', 'ZNF865', 'CD8B2']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,RPLP1,"Among the genes MYO3A, RPLP1, LINC01806, ZNF865, and CD8B2, which one exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for targeting rheumatoid arthritis?","Among the genes MYO3A, RPLP1, LINC01806, ZNF865, and CD8B2, which one exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for targeting rheumatoid arthritis? Identify the validated therapeutic targets for rheumatoid arthritis and obtain their cell-type-specific embeddings from PINNACLE. Then, find the overlap between these targets and the effector memory CD4+ alpha-beta T cell-activated genes in PINNACLE to define the cell-type-specific target set. Calculate the average embedding for this set and determine the cosine similarity between this reference and each individual target. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise evidence-based rationale for its biological relevance."
"['CORO1A', 'OPHN1', 'CCDC175', 'ZNF18', 'TMEM213']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,CORO1A,"Among the following genes—CORO1A, OPHN1, CCDC175, ZNF18, and TMEM213—which exhibits the highest cell-type specificity in effector memory CD4+ alpha beta T cells, thereby representing the most promising target for rheumatoid arthritis?","Among the following genes—CORO1A, OPHN1, CCDC175, ZNF18, and TMEM213—which exhibits the highest cell-type specificity in effector memory CD4+ alpha beta T cells, thereby representing the most promising target for rheumatoid arthritis? Identify the validated therapeutic targets for rheumatoid arthritis and retrieve their cell-type–specific embeddings from the PINNACLE database. Next, determine the overlapping genes between these targets and the effector memory CD4+ αβ T cell‐activated gene set in PINNACLE. Using this overlapping set as the cell-type–specific targets for rheumatoid arthritis, calculate their average embedding and then compute the cosine similarity between this average and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['GPSM3', 'LINC00628', 'TIPRL', 'SH3RF3', 'SUCLG1']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,GPSM3,"Which gene among GPSM3, LINC00628, TIPRL, SH3RF3, and SUCLG1 exhibits the highest cell-type specificity in effector memory CD4⁺ αβ T cells relevant to rheumatoid arthritis targeting?","Which gene among GPSM3, LINC00628, TIPRL, SH3RF3, and SUCLG1 exhibits the highest cell-type specificity in effector memory CD4⁺ αβ T cells relevant to rheumatoid arthritis targeting? Identify the validated therapeutic targets for rheumatoid arthritis and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the gene set representing activated effector memory CD4+ αβ T cells in PINNACLE. Define this intersection as the cell-type–specific targets for rheumatoid arthritis. Calculate the average embedding for these genes and then compute the cosine similarity between this average and each individual target embedding. If one gene exhibits a significantly higher similarity score than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['PRICKLE3', 'LINC00278', 'CD52', 'TRIM56', 'ACYP2']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,CD52,"Which gene—PRICKLE3, LINC00278, CD52, TRIM56, or ACYP2—exhibits the highest expression specificity in effector memory CD4+ αβ T cells, making it the most promising single target for rheumatoid arthritis intervention?","Which gene—PRICKLE3, LINC00278, CD52, TRIM56, or ACYP2—exhibits the highest expression specificity in effector memory CD4+ αβ T cells, making it the most promising single target for rheumatoid arthritis intervention? Determine which therapeutic targets for rheumatoid arthritis, validated in current literature, are represented in PINNACLE. Next, using the cell-type–specific embeddings, identify the overlap between these targets and the genes activated in effector memory CD4+ αβ T cells. For the overlapping targets, compute their average embedding to generate a reference profile, then calculate the cosine similarity between this reference and each individual target. If one gene displays a substantially higher similarity relative to the others, nominate it as the top candidate and provide a concise evidence-based rationale for its biological relevance in rheumatoid arthritis."
"['ECPAS', 'ZBED5-AS1', 'LINC02384', 'DDX6', 'CNN3']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,DDX6,"Which gene among ECPAS, ZBED5-AS1, LINC02384, DDX6, and CNN3 exhibits the highest specificity for effector memory CD4+ αβ T cells, making it the most promising target for rheumatoid arthritis intervention?","Which gene among ECPAS, ZBED5-AS1, LINC02384, DDX6, and CNN3 exhibits the highest specificity for effector memory CD4+ αβ T cells, making it the most promising target for rheumatoid arthritis intervention? Identify the validated therapeutic targets for rheumatoid arthritis and obtain their corresponding cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the effector memory CD4+ alpha-beta T-cell activated genes present in PINNACLE to define the cell-type–specific targets for rheumatoid arthritis. Compute the average embedding of these overlapping targets as a reference, then calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate that gene as the top candidate and provide a concise, evidence-based rationale for its biological significance."
"['PRR19', 'LINC02851', 'PPIA', 'PTCRA', 'TCF25']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,PPIA,"Which gene among PRR19, LINC02851, PPIA, PTCRA, and TCF25 exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for targeting rheumatoid arthritis?","Which gene among PRR19, LINC02851, PPIA, PTCRA, and TCF25 exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for targeting rheumatoid arthritis? Using the verified therapeutic targets for rheumatoid arthritis, retrieve their cell-type–specific embeddings from the PINNACLE database. Then, identify which of these targets overlap with the set of effector memory CD4+ alpha-beta T cell activated genes in PINNACLE, defining the cell-type–specific targets for rheumatoid arthritis. Next, compute the average embedding of this overlapping group to create a reference vector, and calculate the cosine similarity between this reference and each individual target. If one gene shows a distinctly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
"['KRTAP5-2', 'HLA-C', 'CSTF2T', 'ATXN2L', 'TTLL12']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,HLA-C,"Which gene among KRTAP5-2, HLA-C, CSTF2T, ATXN2L, and TTLL12 exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for targeting rheumatoid arthritis?","Which gene among KRTAP5-2, HLA-C, CSTF2T, ATXN2L, and TTLL12 exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for targeting rheumatoid arthritis? Identify the therapeutic targets for rheumatoid arthritis with confirmed validity and retrieve their cell-type-specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the genes activated in effector memory CD4+ αβ T cells within PINNACLE, considering this intersection as the set of RA cell-type-specific targets. Compute the average embedding for this overlapping set and assess each individual target's similarity by calculating the cosine similarity to this reference embedding. Finally, if one gene displays markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
"['HIF1A', 'TM2D2', 'FAM193B-DT', 'LRP1', 'MRM3']",rheumatoid arthritis,classical monocyte,HIF1A,"Which gene among HIF1A, TM2D2, FAM193B-DT, LRP1, and MRM3 shows the highest cell-type specificity in classical monocytes, making it the most promising target for rheumatoid arthritis?","Which gene among HIF1A, TM2D2, FAM193B-DT, LRP1, and MRM3 shows the highest cell-type specificity in classical monocytes, making it the most promising target for rheumatoid arthritis? Identify the verified therapeutic targets for rheumatoid arthritis and obtain their cell-type–specific gene embeddings from PINNACLE. Next, determine which of these targets overlap with classical monocyte-activated genes in PINNACLE, and compute the average embedding for this overlapping set. Then, calculate the cosine similarity between the reference embedding and each individual overlapping gene. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['IFNGR2', 'LACTB2-AS1', 'GBP7', 'JARID2', 'TRAF3IP1']",rheumatoid arthritis,classical monocyte,IFNGR2,"Among these genes—IFNGR2, LACTB2-AS1, GBP7, JARID2, and TRAF3IP1—which one exhibits the highest cell-type specificity in classical monocytes in the context of rheumatoid arthritis?","Among these genes—IFNGR2, LACTB2-AS1, GBP7, JARID2, and TRAF3IP1—which one exhibits the highest cell-type specificity in classical monocytes in the context of rheumatoid arthritis? Identify validated therapeutic targets for rheumatoid arthritis (RA) and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the set of classical monocyte-activated genes in PINNACLE, as this intersection represents the cell-type–specific RA targets. Calculate the average embedding from this overlapping set and then compute the cosine similarity between the average embedding and each individual target’s embedding. Finally, if one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate, providing a concise, evidence-based rationale for its biological relevance."
"['PANX2', 'TLE3', 'ANKUB1', 'ASXL2', 'YY1AP1']",rheumatoid arthritis,classical monocyte,TLE3,"Among the genes PANX2, TLE3, ANKUB1, ASXL2, and YY1AP1, which exhibits the highest cell-type specificity in classical monocytes and presents the most promising candidate for targeting rheumatoid arthritis?","Among the genes PANX2, TLE3, ANKUB1, ASXL2, and YY1AP1, which exhibits the highest cell-type specificity in classical monocytes and presents the most promising candidate for targeting rheumatoid arthritis? Identify the verified therapeutic targets for rheumatoid arthritis and extract their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the classical monocyte-activated genes in PINNACLE to define the cell-type–specific RA targets. Calculate the average embedding of this set, then compute the cosine similarity between this average and each individual target embedding. If one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological significance."
"['COL17A1', 'GCNT7', 'SLC25A43', 'ARMC3', 'AHR']",rheumatoid arthritis,classical monocyte,AHR,"Which gene among COL17A1, GCNT7, SLC25A43, ARMC3, and AHR exhibits the highest cell-type specificity in classical monocytes for therapeutic targeting in rheumatoid arthritis?","Which gene among COL17A1, GCNT7, SLC25A43, ARMC3, and AHR exhibits the highest cell-type specificity in classical monocytes for therapeutic targeting in rheumatoid arthritis? Using PINNACLE, identify all verified therapeutic targets for rheumatoid arthritis and obtain their corresponding cell-type-specific embeddings. Next, determine the intersection with the classical monocyte-activated genes from PINNACLE. Compute the average embedding of this overlapping set and calculate the cosine similarity between this average and each individual target’s embedding. If one gene exhibits markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['USP5', 'PSMD13', 'SLC22A18AS', 'ADAM17', 'C12orf50']",rheumatoid arthritis,classical monocyte,ADAM17,"Among the following genes—USP5, PSMD13, SLC22A18AS, ADAM17, and C12orf50—which exhibits the highest cell-type specificity in classical monocytes as a candidate target for rheumatoid arthritis therapy?","Among the following genes—USP5, PSMD13, SLC22A18AS, ADAM17, and C12orf50—which exhibits the highest cell-type specificity in classical monocytes as a candidate target for rheumatoid arthritis therapy? Identify verified therapeutic targets for rheumatoid arthritis and extract their cell type-specific embeddings from PINNACLE. Next, determine which of these targets overlap with classical monocyte-activated genes in PINNACLE to define the subset of cell type-specific targets for rheumatoid arthritis. Compute the average embedding for this overlapping set and calculate the cosine similarity between this average and each individual target. If one gene exhibits a notably higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['UHMK1', 'LAD1', 'CDC42EP3', 'LBHD1', 'LINC01277']",rheumatoid arthritis,classical monocyte,CDC42EP3,"Which gene among UHMK1, LAD1, CDC42EP3, LBHD1, and LINC01277 exhibits the highest specificity in classical monocytes, making it the most promising target for rheumatoid arthritis therapy?","Which gene among UHMK1, LAD1, CDC42EP3, LBHD1, and LINC01277 exhibits the highest specificity in classical monocytes, making it the most promising target for rheumatoid arthritis therapy? Identify the validated therapeutic targets for rheumatoid arthritis and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the classical monocyte-activated genes in PINNACLE to define the cell-type–specific targets. Compute the average embedding for this overlapping set and calculate the cosine similarity between this reference and each individual target. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['KIR2DL4', 'BCDIN3D', 'AIMP1', 'RAB15', 'ZEB2']",rheumatoid arthritis,classical monocyte,ZEB2,"Which gene, selected from KIR2DL4, BCDIN3D, AIMP1, RAB15, and ZEB2, exhibits the highest specificity in classical monocytes and thus represents the most promising target for rheumatoid arthritis therapy?","Which gene, selected from KIR2DL4, BCDIN3D, AIMP1, RAB15, and ZEB2, exhibits the highest specificity in classical monocytes and thus represents the most promising target for rheumatoid arthritis therapy? Identify validated therapeutic targets for rheumatoid arthritis along with their cell-type–specific embeddings from the PINNACLE database. Determine which of these targets overlap with PINNACLE’s classical monocyte-activated genes to define the cell-type–specific targets for rheumatoid arthritis. Next, compute the average embedding of these overlapping genes and calculate the cosine similarity between this reference and each individual target’s embedding. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MTPAP', 'CCDC148', 'SAP130', 'RB1', 'PRMT7']",rheumatoid arthritis,classical monocyte,MTPAP,"Among the genes MTPAP, CCDC148, SAP130, RB1, and PRMT7, which one demonstrates the highest specificity for classical monocytes in the context of rheumatoid arthritis?","Among the genes MTPAP, CCDC148, SAP130, RB1, and PRMT7, which one demonstrates the highest specificity for classical monocytes in the context of rheumatoid arthritis? Identify the validated therapeutic targets for rheumatoid arthritis and extract their cell-type–specific expression embeddings from PINNACLE. Next, determine the intersection between these targets and the classical monocyte-activated genes in PINNACLE, defining this overlap as rheumatoid arthritis cell-type–specific targets. Compute the average embedding vector for this overlapping set and then calculate the cosine similarity between this average and each individual target’s embedding. Finally, if one gene exhibits a markedly higher cosine similarity than the others, designate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['IL1B', 'UBE2V1', 'ALG9', 'CD180', 'SULT1E1']",rheumatoid arthritis,classical monocyte,IL1B,"Among the genes IL1B, UBE2V1, ALG9, CD180, and SULT1E1, which exhibits the highest specificity in classical monocytes and is therefore the most promising target for rheumatoid arthritis treatment?","Among the genes IL1B, UBE2V1, ALG9, CD180, and SULT1E1, which exhibits the highest specificity in classical monocytes and is therefore the most promising target for rheumatoid arthritis treatment? Identify the validated therapeutic targets for rheumatoid arthritis and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the classical monocyte-activated genes available in PINNACLE to define the cell-type–specific targets for rheumatoid arthritis. Calculate the average embedding of this overlapping set and subsequently compute the cosine similarity between this average and each individual target embedding. If one gene demonstrates a significantly higher similarity than the others, nominate it as the primary candidate and provide a brief, evidence-based explanation of its biological relevance."
"['HLA-DRA', 'NSUN3', 'CLHC1', 'ZNF568', 'LINC00545']",rheumatoid arthritis,classical monocyte,HLA-DRA,"Among HLA-DRA, NSUN3, CLHC1, ZNF568, and LINC00545, which gene exhibits the highest cell-type specificity in classical monocytes as a target for rheumatoid arthritis?","Among HLA-DRA, NSUN3, CLHC1, ZNF568, and LINC00545, which gene exhibits the highest cell-type specificity in classical monocytes as a target for rheumatoid arthritis? Identify the therapeutic targets for rheumatoid arthritis that have been experimentally validated. Retrieve their cell-type–specific embeddings from PINNACLE and identify the overlap with the classical monocyte-activated gene set provided by the same resource. This overlapping gene set represents the cell-type–specific targets for rheumatoid arthritis. Next, compute the average embedding of these overlapping genes as a reference and determine the cosine similarity between this reference and each individual target embedding. If one gene shows a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['TNFRSF14-AS1', 'GOLGA8Q', 'WDR82', 'NFKBIA', 'VPS28']",rheumatoid arthritis,classical monocyte,NFKBIA,"Which gene among TNFRSF14-AS1, GOLGA8Q, WDR82, NFKBIA, and VPS28 shows the highest cell-type specificity in classical monocytes for targeting rheumatoid arthritis?","Which gene among TNFRSF14-AS1, GOLGA8Q, WDR82, NFKBIA, and VPS28 shows the highest cell-type specificity in classical monocytes for targeting rheumatoid arthritis? Retrieve verified therapeutic targets for rheumatoid arthritis and obtain their corresponding cell-type–specific embeddings from the PINNACLE database. Then, identify the overlap between these targets and the classical monocyte-activated genes in PINNACLE. For the overlapping genes, compute the average embedding profile as a reference and calculate the cosine similarity between this reference and each individual gene. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
