disease,celltype,candidate_genes,y
Sjogren syndrome,duct epithelial cell,"['H3C10', 'HLA-B', 'KMT2C', 'CNN2', 'DGAT2L6']",HLA-B
Sjogren syndrome,duct epithelial cell,"['MAPK8IP3', 'TRIM69', 'PLEKHF2', 'EYA1', 'IMPDH2']",IMPDH2
Sjogren syndrome,duct epithelial cell,"['IMPDH2', 'NLRC4', 'RPL23AP32', 'ITGB3', 'ECD']",IMPDH2
Sjogren syndrome,duct epithelial cell,"['PWWP2B', 'IGFALS', 'FZD4', 'HLA-DRA', 'GALNT14']",HLA-DRA
Sjogren syndrome,duct epithelial cell,"['UVSSA', 'HLA-DPB1', 'AGO4', 'CMTM3', 'BAHD1']",HLA-DPB1
Sjogren syndrome,duct epithelial cell,"['PPIA', 'CLTCL1', 'NOL12', 'HSPA4L', 'RLN2']",PPIA
Sjogren syndrome,duct epithelial cell,"['ABCB4', 'USO1', 'FCGRT', 'PLAAT5', 'LUC7L2']",FCGRT
Sjogren syndrome,duct epithelial cell,"['AAMDC', 'HLA-B', 'RNU2-1', 'PRPS1L1', 'TTR']",HLA-B
Sjogren syndrome,duct epithelial cell,"['FXN', 'RPL36', 'ZNF71', 'HLA-B', 'YTHDF1']",HLA-B
Sjogren syndrome,duct epithelial cell,"['GCG', 'HLA-DRA', 'GFRA2', 'TXNDC15', 'SMIM11B']",HLA-DRA
Sjogren syndrome,duct epithelial cell,"['ASIP', 'SUPT7L', 'PPIA', 'FAM153A', 'RAPGEF3']",PPIA
Sjogren syndrome,duct epithelial cell,"['HLA-DPB1', 'IRX6', 'DHRS11', 'ALPP', 'PTPRK']",HLA-DPB1
Sjogren syndrome,duct epithelial cell,"['ENPP7', 'SPRYD3', 'CD59', 'ACOX1', 'FCGRT']",FCGRT
Sjogren syndrome,duct epithelial cell,"['SH3PXD2A', 'IMPDH2', 'S1PR3', 'CSDC2', 'ARL6IP5']",IMPDH2
Sjogren syndrome,duct epithelial cell,"['IMPDH2', 'TGM7', 'H2AC14', 'DCAF16', 'KRI1']",IMPDH2
Sjogren syndrome,duct epithelial cell,"['HLA-B', 'SLC38A3', 'SOX1', 'AKAP9', 'UBXN10']",HLA-B
Sjogren syndrome,myoepithelial cell,"['GIMAP1', 'HLA-B', 'DVL1P1', 'FLOT1', 'GZMB']",HLA-B
Sjogren syndrome,myoepithelial cell,"['CBLN1', 'NAT8B', 'ZBTB38', 'PPIA', 'TMEM38B']",PPIA
Sjogren syndrome,myoepithelial cell,"['PPM1J', 'USP36', 'FKBP1A', 'DDAH2', 'CBFA2T3']",FKBP1A
Sjogren syndrome,myoepithelial cell,"['FITM2', 'MIF', 'ITGB5', 'SLC6A19', 'STIP1']",MIF
Sjogren syndrome,myoepithelial cell,"['THRAP3', 'DARS2', 'PEX6', 'NDUFB7', 'JAK1']",JAK1
Sjogren syndrome,myoepithelial cell,"['ARHGEF39', 'FCGRT', 'TREX1', 'ZP3', 'CDIN1']",FCGRT
Sjogren syndrome,myoepithelial cell,"['OPRPN', 'ARID3C', 'FCGRT', 'PCNT', 'TWNK']",FCGRT
Sjogren syndrome,myoepithelial cell,"['PCNX1', 'TNFAIP1', 'PPIA', 'ARID3A', 'PLPPR1']",PPIA
Sjogren syndrome,myoepithelial cell,"['CYTH4', 'FKBP1A', 'HADHB', 'VAV2', 'ATP5F1D']",FKBP1A
Sjogren syndrome,myoepithelial cell,"['MCHR1', 'STRN', 'PRRX1', 'BDH2', 'JAK1']",JAK1
Sjogren syndrome,myoepithelial cell,"['ALDH4A1', 'RUNX3', 'AFAP1L1', 'PDLIM5', 'HLA-B']",HLA-B
Sjogren syndrome,myoepithelial cell,"['CDA', 'FTSJ3', 'DPY30', 'MIF', 'STON1-GTF2A1L']",MIF
Sjogren syndrome,myoepithelial cell,"['KDM4C', 'SRSF9', 'CFAP161', 'PDCD11', 'HLA-B']",HLA-B
Sjogren syndrome,myoepithelial cell,"['RBPMS', 'CRYBB1', 'TBXA2R', 'EIF2B2', 'FKBP1A']",FKBP1A
Sjogren syndrome,myoepithelial cell,"['RNF103', 'RXFP3', 'SMIM14', 'CMPK1', 'PPIA']",PPIA
Sjogren syndrome,myoepithelial cell,"['RGS20', 'FCGRT', 'IL13RA2', 'WDR36', 'DNAJB14']",FCGRT
Sjogren syndrome,myoepithelial cell,"['FAM47A', 'JAK1', 'FAM199X', 'ZNF205', 'PIGY']",JAK1
Sjogren syndrome,myoepithelial cell,"['MIF', 'LIMA1', 'NINL', 'ZUP1', 'RGS4']",MIF
Sjogren syndrome,myoepithelial cell,"['C7orf31', 'JAK1', 'H3C7', 'CCDC7', 'HNRNPH3']",JAK1
Sjogren syndrome,myoepithelial cell,"['BDKRB2', 'DAZ4', 'ACKR1', 'GRIK2', 'FCGRT']",FCGRT
Sjogren syndrome,fibroblast,"['SMARCC2', 'MORN5', 'IPO9', 'CYP19A1', 'MIR451A']",SMARCC2
Sjogren syndrome,fibroblast,"['ACTR6', 'GPAM', 'PLA2G4B', 'RNF170', 'PPIA']",PPIA
Sjogren syndrome,fibroblast,"['NDUFS8', 'STAT1', 'SETD3', 'FGF19', 'LOXL3']",STAT1
Sjogren syndrome,fibroblast,"['DDX6', 'TLR4', 'OPRD1', 'METTL27', 'TMEM258']",DDX6
Sjogren syndrome,fibroblast,"['KLHDC3', 'KDM4D', 'BAZ2A', 'WASHC2C', 'RACK1']",BAZ2A
Sjogren syndrome,fibroblast,"['KRTAP5-11', 'RCN1', 'KRTAP9-3', 'FAM27E3', 'TFPI']",RCN1
Sjogren syndrome,fibroblast,"['FKBP1A', 'AP2B1', 'NEK3', 'NDUFC2', 'TMUB2']",FKBP1A
Sjogren syndrome,fibroblast,"['GAS2', 'NR3C1', 'MED30', 'TNNI2', 'PRDM4']",NR3C1
Sjogren syndrome,fibroblast,"['C12orf40', 'TOP2A', 'HLA-DRA', 'AURKB', 'NAXD']",HLA-DRA
Sjogren syndrome,fibroblast,"['SLC22A24', 'XYLB', 'RPS10P5', 'TREX1', 'IFNAR1']",IFNAR1
Sjogren syndrome,fibroblast,"['DNAJA2', 'MRPL50', 'HLA-B', 'BEST3', 'FAT2']",HLA-B
Sjogren syndrome,fibroblast,"['GTF2I', 'ANKRD52', 'TRIM13', 'COL4A5', 'SEC14L1']",GTF2I
Sjogren syndrome,fibroblast,"['SPRR2C', 'CLCF1', 'NFKB2', 'JAK1', 'ACBD7']",JAK1
Sjogren syndrome,fibroblast,"['CKMT2', 'LOX', 'NDUFB1', 'HLA-B', 'IFITM5']",HLA-B
Sjogren syndrome,fibroblast,"['PWWP3A', 'CALCB', 'ZFAND2B', 'BAZ2A', 'WNT11']",BAZ2A
Sjogren syndrome,fibroblast,"['CCDC174', 'AUP1', 'HLA-DRA', 'NXF2', 'FLII']",HLA-DRA
Sjogren syndrome,fibroblast,"['MAB21L3', 'GTF2I', 'C19orf54', 'TMEM237', 'NUDT10']",GTF2I
Sjogren syndrome,fibroblast,"['RNPEP', 'RRH', 'ALG9', 'DDX6', 'AMACR']",DDX6
Sjogren syndrome,fibroblast,"['ELOVL1', 'JAK1', 'YEATS4', 'PLAGL1', 'GRIK3']",JAK1
Sjogren syndrome,fibroblast,"['BLM', 'SMCR8', 'VSIG4', 'RCN1', 'OR8D2']",RCN1
