disease,celltype,candidate_genes,y
type 1 diabetes mellitus,pancreatic acinar cell,"['GTF2F1', 'ZBTB3', 'SHMT2', 'C16orf95-DT', 'BRD2']",BRD2
type 1 diabetes mellitus,pancreatic acinar cell,"['ZNF766', 'SEC31B', 'IPMK', 'TM9SF2', 'ATRN']",TM9SF2
type 1 diabetes mellitus,pancreatic acinar cell,"['CATSPER1', 'ENTHD1', 'NDUFAB1', 'SPAG16', 'MZB1']",NDUFAB1
type 1 diabetes mellitus,pancreatic acinar cell,"['BCL2L12', 'M6PR', 'ARV1', 'SH2D3A', 'NXN']",M6PR
type 1 diabetes mellitus,pancreatic acinar cell,"['STRIP2', 'PFKFB3', 'SH3TC1', 'NEMP2', 'NT5C']",PFKFB3
type 1 diabetes mellitus,pancreatic acinar cell,"['SUCLG2', 'ZNF233', 'PMPCA', 'KPNA2', 'TRNT1']",KPNA2
type 1 diabetes mellitus,pancreatic acinar cell,"['DHTKD1', 'INS', 'ANKRD20A2P', 'OR2AP1', 'PRSS37']",INS
type 1 diabetes mellitus,pancreatic acinar cell,"['DNAAF3', 'SEPTIN9-DT', 'MT-ND4', 'EFCAB5', 'NME9']",MT-ND4
type 1 diabetes mellitus,pp cell,"['EBLN3P', 'KRT83', 'RTEL1', 'HDLBP', 'ZNF540']",HDLBP
type 1 diabetes mellitus,pp cell,"['C5orf34', 'TSPYL2', 'FKBP15', 'RBP5', 'MTCH1']",MTCH1
type 1 diabetes mellitus,pp cell,"['JAK1', 'ETV4', 'PRKACB-DT', 'GPAM', 'PABPC1L2A']",JAK1
type 1 diabetes mellitus,pp cell,"['ANKS3', 'TAF10', 'FOXN3', 'NID2', 'FAM66B']",FOXN3
type 1 diabetes mellitus,pp cell,"['CCDC32', 'PCCA-DT', 'CCDC86', 'BRAF', 'TRIM52']",BRAF
type 1 diabetes mellitus,pp cell,"['ZNF235', 'KCNT1', 'CCDC200', 'ZNF652', 'GDE1']",ZNF652
type 1 diabetes mellitus,pp cell,"['CEP85', 'ALDH2', 'KCTD16', 'LINC00523', 'EBF2']",ALDH2
type 1 diabetes mellitus,pp cell,"['DDX11', 'UBXN7', 'TPGS1', 'BOLA1', 'TRDMT1']",TPGS1
type 1 diabetes mellitus,pp cell,"['XRCC1', 'C5orf63', 'PTEN', 'LINC02426', 'C20orf141']",PTEN
type 1 diabetes mellitus,pp cell,"['EPM2A', 'C2orf74', 'SCAF11', 'GAL3ST4', 'PAGE4']",SCAF11
type 1 diabetes mellitus,pp cell,"['CLTC', 'GP2', 'RFWD3', 'LRRC8C-DT', 'SCUBE3']",GP2
type 1 diabetes mellitus,pp cell,"['NDUFB1', 'RBM15', 'RHOBTB2', 'LINC01357', 'FRY']",NDUFB1
type 1 diabetes mellitus,pp cell,"['MORN3', 'POLR1H', 'ZNF8-DT', 'IL6ST', 'LINC02004']",IL6ST
type 1 diabetes mellitus,pp cell,"['ALX1', 'SHC2', 'FUOM', 'SMIM14', 'ARFGEF3']",ARFGEF3
type 1 diabetes mellitus,pp cell,"['DPH1', 'EEF1A2', 'ALG12', 'SEZ6L2', 'DAG1']",DAG1
type 1 diabetes mellitus,pp cell,"['LPCAT1', 'PARD3', 'CASC9', 'SMARCE1', 'PLEKHB1']",SMARCE1
type 1 diabetes mellitus,pp cell,"['LINC00544', 'SART3', 'SMIM30', 'DNALI1', 'DBET']",SMIM30
type 1 diabetes mellitus,pp cell,"['FAM153CP', 'CD248', 'MEIOB', 'CHD2', 'KCNA4']",CHD2
type 1 diabetes mellitus,pp cell,"['SSBP3', 'PPIA', 'GPR61', 'LFNG', 'TMEM72-AS1']",PPIA
type 1 diabetes mellitus,pp cell,"['MT-ND1', 'ARHGEF2', 'RDH13', 'PAK1IP1', 'SLC24A5']",MT-ND1
type 1 diabetes mellitus,type b pancreatic cell,"['DSG2-AS1', 'TOLLIP', 'DNAJB13', 'TRAPPC8', 'POLDIP3']",TRAPPC8
type 1 diabetes mellitus,type b pancreatic cell,"['HMCN1', 'LINC01666', 'ADGRF5', 'SPRYD3', 'OCSTAMP']",SPRYD3
type 1 diabetes mellitus,type b pancreatic cell,"['RSBN1', 'TOMM70', 'MGAT4A', 'SEMA6A-AS2', 'USP27X-DT']",RSBN1
type 1 diabetes mellitus,type b pancreatic cell,"['NDUFA7', 'LLPH-DT', 'TCEA3', 'MRAP2', 'RBP7']",NDUFA7
type 1 diabetes mellitus,type b pancreatic cell,"['LIMCH1', 'C19orf44', 'TMCC1', 'GTPBP2', 'GGTLC2']",LIMCH1
type 1 diabetes mellitus,type b pancreatic cell,"['MINAR2', 'INE2', 'NUCKS1', 'GCN1', 'ZBTB22']",ZBTB22
type 1 diabetes mellitus,type b pancreatic cell,"['ZG16', 'CTRB1', 'PHLPP2', 'USP50', 'WARS2']",CTRB1
type 1 diabetes mellitus,type b pancreatic cell,"['PCDHA13', 'ZNF219', 'SLC25A27', 'PFKL', 'LRCH3']",PFKL
type 1 diabetes mellitus,type b pancreatic cell,"['SMARCE1', 'NOL7', 'LINC02044', 'CASD1', 'OR3A2']",SMARCE1
type 1 diabetes mellitus,type b pancreatic cell,"['SELENOV', 'CCDC136', 'DHX35-DT', 'CTBP2', 'TMEM72']",CTBP2
type 1 diabetes mellitus,type b pancreatic cell,"['GLB1L', 'NDUFAF3', 'AARD', 'MAX', 'RTF2']",NDUFAF3
type 1 diabetes mellitus,type b pancreatic cell,"['UNK', 'RDH13', 'WDR93', 'OR13A1', 'TRIM38']",TRIM38
type 1 diabetes mellitus,type b pancreatic cell,"['TMEM167B-DT', 'NDUFS2', 'C6orf120', 'MAPKBP1', 'LINC00574']",NDUFS2
type 1 diabetes mellitus,type b pancreatic cell,"['ATXN7L3B', 'HCST', 'LRRC23', 'NPIPA3', 'MYO15A']",ATXN7L3B
type 1 diabetes mellitus,type b pancreatic cell,"['MTMR9', 'LURAP1L', 'CLSTN1', 'CD109', 'LTBP2']",LURAP1L
type 1 diabetes mellitus,type b pancreatic cell,"['MICOS10', 'ACSL4', 'C6orf120', 'GPR68', 'RBM17']",RBM17
type 1 diabetes mellitus,type b pancreatic cell,"['CAPRIN1', 'BRAP', 'FAM157C', 'DLGAP4', 'LINC01611']",BRAP
type 1 diabetes mellitus,type b pancreatic cell,"['TMEM178B', 'ACAP1', 'HSPBP1', 'COX8A', 'LINC01785']",ACAP1
