disease,celltype,candidate_genes,y
Sjogren syndrome,duct epithelial cell,"['SENP3', 'RAB9A', 'TUBB6', 'SPA17', 'FCGRT']",FCGRT
Sjogren syndrome,duct epithelial cell,"['THAP11', 'C5AR2', 'RTF1', 'PPIA', 'C11orf16']",PPIA
Sjogren syndrome,duct epithelial cell,"['FST', 'HLA-DRA', 'ARID1B', 'SAMD11', 'MED11']",HLA-DRA
Sjogren syndrome,duct epithelial cell,"['ARCN1', 'ITGB2', 'HLA-B', 'MMS22L', 'NCALD']",HLA-B
Sjogren syndrome,duct epithelial cell,"['ASB1', 'SPOUT1', 'FAM180B', 'FCGRT', 'ALCAM']",FCGRT
Sjogren syndrome,duct epithelial cell,"['MT-CYB', 'AUTS2', 'RAB1A', 'ALG11', 'HLA-DPB1']",HLA-DPB1
Sjogren syndrome,duct epithelial cell,"['ETV6', 'KDM6A', 'LNPEP', 'IMPDH2', 'GPRIN2']",IMPDH2
Sjogren syndrome,duct epithelial cell,"['TMEM135', 'PPIA', 'TNFAIP1', 'DGKI', 'NR2E3']",PPIA
Sjogren syndrome,duct epithelial cell,"['FAM120C', 'IMPDH2', 'GRAMD1A', 'RASAL3', 'LBX2']",IMPDH2
Sjogren syndrome,duct epithelial cell,"['KIAA0895L', 'ZNF268', 'PHF5A', 'GCN1', 'HLA-DPB1']",HLA-DPB1
Sjogren syndrome,duct epithelial cell,"['H3-3A', 'CCNY', 'MRPL40', 'HLA-DRA', 'MYH1']",HLA-DRA
Sjogren syndrome,duct epithelial cell,"['LTF', 'HLA-B', 'CAPN15', 'TMEM167A', 'APOL6']",HLA-B
Sjogren syndrome,duct epithelial cell,"['ABCC1', 'FCGRT', 'DDX56', 'PLS3', 'APTX']",FCGRT
Sjogren syndrome,duct epithelial cell,"['MUC1', 'HLA-B', 'TMOD3', 'CKMT1A', 'ADGRE2']",HLA-B
Sjogren syndrome,duct epithelial cell,"['H3C15', 'HLA-DPB1', 'GFER', 'RPLP2', 'SRSF3']",HLA-DPB1
Sjogren syndrome,myoepithelial cell,"['PRPF38A', 'HLA-B', 'PDE6A', 'ZNF662', 'ZNF420']",HLA-B
Sjogren syndrome,myoepithelial cell,"['FKBP1A', 'MARCHF7', 'DLG3', 'SLITRK1', 'SNX7']",FKBP1A
Sjogren syndrome,myoepithelial cell,"['HSD17B12', 'SUMO2', 'PPIA', 'PCDHA2', 'ARID1A']",PPIA
Sjogren syndrome,myoepithelial cell,"['SPON2', 'TMUB2', 'ATG16L1', 'MIF', 'DENND2D']",MIF
Sjogren syndrome,myoepithelial cell,"['STRAP', 'JAK1', 'B3GAT3', 'CAPN10', 'M1AP']",JAK1
Sjogren syndrome,myoepithelial cell,"['RECK', 'CST4', 'MAGEB4', 'FCGRT', 'LMO7']",FCGRT
Sjogren syndrome,myoepithelial cell,"['SORCS3', 'PRR35', 'MIF', 'MYL2', 'TAF6L']",MIF
Sjogren syndrome,myoepithelial cell,"['SAR1A', 'ALDH7A1', 'NCOR1', 'PROSER3', 'PPIA']",PPIA
Sjogren syndrome,myoepithelial cell,"['AGTR2', 'CSTB', 'JAK1', 'AIP', 'ATP1B4']",JAK1
Sjogren syndrome,myoepithelial cell,"['KCNMB4', 'HLA-B', 'CMIP', 'RUBCNL', 'MRPS14']",HLA-B
Sjogren syndrome,myoepithelial cell,"['IL10RB', 'PLPP6', 'FAM50B', 'ERI1', 'FCGRT']",FCGRT
Sjogren syndrome,myoepithelial cell,"['GBP5', 'EAF2', 'FKBP1A', 'THAP12', 'ZNF576']",FKBP1A
Sjogren syndrome,myoepithelial cell,"['HLA-B', 'MT-ND4', 'TMTC3', 'RAB1C', 'UBR3']",HLA-B
Sjogren syndrome,myoepithelial cell,"['DGCR8', 'ARHGAP12', 'KDM5D', 'SCGB3A2', 'FCGRT']",FCGRT
Sjogren syndrome,myoepithelial cell,"['HEMGN', 'FKBP1A', 'HMGN3', 'SCYL2', 'CRB3']",FKBP1A
Sjogren syndrome,myoepithelial cell,"['FARS2', 'TRIM24', 'E2F8', 'HUS1B', 'PPIA']",PPIA
Sjogren syndrome,myoepithelial cell,"['JAK1', 'MEP1A', 'PISD', 'GUCY1B2', 'FZD3']",JAK1
Sjogren syndrome,myoepithelial cell,"['COX14', 'ATP1A3', 'MIF', 'WDR97', 'TARS2']",MIF
Sjogren syndrome,myoepithelial cell,"['CHST7', 'FKBP1A', 'C22orf46', 'HLA-DRB1', 'RAE1']",FKBP1A
Sjogren syndrome,myoepithelial cell,"['EIF4G2', 'PPIA', 'STAC', 'HCRTR2', 'STK38L']",PPIA
Sjogren syndrome,fibroblast,"['STAT1', 'MC1R', 'UPP1', 'PALMD', 'PRMT5']",STAT1
Sjogren syndrome,fibroblast,"['NR3C1', 'FAM153CP', 'NUDT22', 'C1GALT1C1', 'ARL6IP6']",NR3C1
Sjogren syndrome,fibroblast,"['BAZ2A', 'ZNF134', 'RAG1', 'CSF2RB', 'WDR59']",BAZ2A
Sjogren syndrome,fibroblast,"['FKBP1A', 'PTPN3', 'NDUFB11', 'KLHL38', 'FFAR3']",FKBP1A
Sjogren syndrome,fibroblast,"['LDOC1', 'PDIA4', 'SYNE4', 'SREBF1', 'SMARCC2']",SMARCC2
Sjogren syndrome,fibroblast,"['JAK1', 'ZNF835', 'PLEKHG6', 'TCF3', 'ANKRD28']",JAK1
Sjogren syndrome,fibroblast,"['ADAT3', 'SCG2', 'ACY3', 'SERTAD4', 'HLA-B']",HLA-B
Sjogren syndrome,fibroblast,"['GSTA4', 'PPIA', 'UQCR10', 'MYLK', 'EEF1A1P5']",PPIA
Sjogren syndrome,fibroblast,"['DDX6', 'TYW1', 'GNAL', 'PLCG1', 'XAGE3']",DDX6
Sjogren syndrome,fibroblast,"['NR2C2', 'FADS3', 'LGALS8', 'IFNAR1', 'XIRP2']",IFNAR1
Sjogren syndrome,fibroblast,"['ZNF250', 'IFT172', 'HMBS', 'FMR1', 'RCN1']",RCN1
Sjogren syndrome,fibroblast,"['GTF2I', 'USP25', 'SLC43A2', 'CDK2AP1', 'GTPBP3']",GTF2I
Sjogren syndrome,fibroblast,"['GIMAP5', 'NUTF2', 'VWA5A', 'BCL2L14', 'HLA-DRA']",HLA-DRA
Sjogren syndrome,fibroblast,"['SGCE', 'ICE2', 'RCN1', 'CIB4', 'TKT']",RCN1
Sjogren syndrome,fibroblast,"['ANXA13', 'DNPH1', 'THAP4', 'MAN2A1', 'BAZ2A']",BAZ2A
Sjogren syndrome,fibroblast,"['ZNF695', 'MUC6', 'TNK2', 'SNTG2', 'IFNAR1']",IFNAR1
Sjogren syndrome,fibroblast,"['MYH15', 'PPIA', 'VMA21', 'NEK11', 'NTAN1']",PPIA
Sjogren syndrome,fibroblast,"['DRP2', 'ATG16L2', 'GTF2I', 'OR5H1', 'TEX47']",GTF2I
Sjogren syndrome,fibroblast,"['THBS2', 'COPG2', 'STAT1', 'SPDEF', 'PIGG']",STAT1
Sjogren syndrome,fibroblast,"['JAK1', 'TET1', 'ZNF689', 'TASOR', 'UTP11']",JAK1
