disease,celltype,candidate_genes,y
Hepatoblastoma,hepatic stellate cell,"['PLXNA4', 'FLT1', 'PARS2', 'IPO5', 'ESPL1']",FLT1
Hepatoblastoma,hepatic stellate cell,"['PRIM2', 'MARCHF6', 'PYCR1', 'RIPOR2', 'SLC14A1']",PRIM2
Hepatoblastoma,hepatic stellate cell,"['ACTR10', 'FAM71F2', 'MOSPD3', 'PDGFRB', 'PCBP3']",PDGFRB
Hepatoblastoma,hepatic stellate cell,"['FLT1', 'CCK', 'ZNF512', 'BHLHB9', 'POU3F3']",FLT1
Hepatoblastoma,hepatic stellate cell,"['DENND1B', 'TOP2A', 'CISH', 'ASCC2', 'TEX13A']",TOP2A
Hepatoblastoma,hepatic stellate cell,"['EP400P1', 'RND1', 'TOP2B', 'SIGLEC7', 'ZBTB20']",TOP2B
Hepatoblastoma,hepatic stellate cell,"['MUL1', 'CKAP4', 'ATP5MK', 'CREBBP', 'TUBB']",TUBB
Hepatoblastoma,hepatic stellate cell,"['CILK1', 'SLC30A8', 'CACUL1', 'SRM', 'TYMS']",TYMS
Hepatoblastoma,hepatic stellate cell,"['MYSM1', 'SLIRP', 'NIPAL4', 'TOP1', 'IRF7']",TOP1
Hepatoblastoma,hepatic stellate cell,"['CLNS1A', 'GPRC5A', 'TOP1', 'SKAP2', 'ULBP3']",TOP1
Hepatoblastoma,hepatic stellate cell,"['D2HGDH', 'CCDC40', 'FLT1', 'NBEA', 'CDX1']",FLT1
Hepatoblastoma,hepatic stellate cell,"['PDGFRB', 'MPIG6B', 'KLRB1', 'TRAPPC6A', 'HEMK1']",PDGFRB
Hepatoblastoma,hepatic stellate cell,"['PRKN', 'TUBB', 'HYPK', 'FCRL3', 'CAPRIN2']",TUBB
