gene_a,gene_b,condition,interaction,user_question,full_query
MRPL10,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, with concurrent mutations in MRPL10 and RAD23 under dimethyl sulfate exposure, could you detail the observed synthetic genetic interaction?","In Saccharomyces cerevisiae, with concurrent mutations in MRPL10 and RAD23 under dimethyl sulfate exposure, could you detail the observed synthetic genetic interaction?"
MRPL10,SGS1,DMS,non-sl,"In Saccharomyces cerevisiae cultures treated with dimethyl sulfate, could you explain how simultaneous mutations in MRPL10 and SGS1 influence the overall genetic interplay observed under these conditions?","In Saccharomyces cerevisiae cultures treated with dimethyl sulfate, could you explain how simultaneous mutations in MRPL10 and SGS1 influence the overall genetic interplay observed under these conditions?"
HFA1,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae, when both HFA1 and RAD23 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction do you observe?","In Saccharomyces cerevisiae, when both HFA1 and RAD23 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction do you observe?"
PPM1,RAD54,DMS,synthetic lethality,"In our Saccharomyces cerevisiae study, we've engineered concurrent mutations in PPM1 and RAD54 and subsequently exposed the cells to dimethyl sulfate. Could you elaborate on the synthetic genetic interaction observed under these experimental conditions?","In our Saccharomyces cerevisiae study, we've engineered concurrent mutations in PPM1 and RAD54 and subsequently exposed the cells to dimethyl sulfate. Could you elaborate on the synthetic genetic interaction observed under these experimental conditions?"
PPM1,BDF2,DMS,non-sl,"In Saccharomyces cerevisiae, when both PPM1 and BDF2 are concurrently mutated and the cells are maintained under conditions of dimethyl sulfate exposure, what synthetic genetic interaction should be anticipated?","In Saccharomyces cerevisiae, when both PPM1 and BDF2 are concurrently mutated and the cells are maintained under conditions of dimethyl sulfate exposure, what synthetic genetic interaction should be anticipated?"
PKH3,RAD54,DMS,non-sl,"In Saccharomyces cerevisiae, I've engineered a strain with concurrent mutations in PKH3 and RAD54 and subjected it to dimethyl sulfate treatment. Could you explain what synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae, I've engineered a strain with concurrent mutations in PKH3 and RAD54 and subjected it to dimethyl sulfate treatment. Could you explain what synthetic genetic interaction emerges under these conditions?"
YKR023W,RAD51,DMS,synthetic lethality,"In Saccharomyces cerevisiae cultures treated with dimethyl sulfate, how do mutations in YKR023W and RAD51 collectively influence synthetic genetic outcomes?","In Saccharomyces cerevisiae cultures treated with dimethyl sulfate, how do mutations in YKR023W and RAD51 collectively influence synthetic genetic outcomes?"
YKR023W,SET2,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how do mutations in YKR023W combined with alterations in SET2 affect cellular phenotypes via synthetic genetic interaction?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how do mutations in YKR023W combined with alterations in SET2 affect cellular phenotypes via synthetic genetic interaction?"
YPL102C,RAD51,DMS,non-sl,"In Saccharomyces cerevisiae harboring concurrent mutations in YPL102C and RAD51 and grown under dimethyl sulfate treatment, what synthetic genetic interaction is observed with respect to cellular viability?","In Saccharomyces cerevisiae harboring concurrent mutations in YPL102C and RAD51 and grown under dimethyl sulfate treatment, what synthetic genetic interaction is observed with respect to cellular viability?"
GEP5,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the simultaneous alteration of GEP5 and RAD23 impact cellular response under treatment with dimethyl sulfate?","In Saccharomyces cerevisiae, how does the simultaneous alteration of GEP5 and RAD23 impact cellular response under treatment with dimethyl sulfate?"
GEP5,CDC4,DMS,non-sl,"In Saccharomyces cerevisiae, when both GEP5 and CDC4 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed in terms of growth or phenotype?","In Saccharomyces cerevisiae, when both GEP5 and CDC4 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed in terms of growth or phenotype?"
PTC4,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae harboring concurrent mutations in PTC4 and RAD23 and exposed to dimethyl sulfate, what synthetic genetic interaction have you observed?","In Saccharomyces cerevisiae harboring concurrent mutations in PTC4 and RAD23 and exposed to dimethyl sulfate, what synthetic genetic interaction have you observed?"
YBR196C-A,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both YBR196C-A and RPD3 are concurrently mutated and cells are exposed to dimethyl sulfate, what form of synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both YBR196C-A and RPD3 are concurrently mutated and cells are exposed to dimethyl sulfate, what form of synthetic genetic interaction is observed?"
YBR196C-A,RAD2,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the simultaneous disruption of YBR196C-A and RAD2 affect cellular responses, and what synthetic genetic interaction might be evident under these conditions?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the simultaneous disruption of YBR196C-A and RAD2 affect cellular responses, and what synthetic genetic interaction might be evident under these conditions?"
HIR2,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when both HIR2 and RPD3 are concurrently mutated and cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed under these conditions?","In Saccharomyces cerevisiae, when both HIR2 and RPD3 are concurrently mutated and cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed under these conditions?"
GUP1,RAD51,DMS,synthetic lethality,"In Saccharomyces cerevisiae, if both GUP1 and RAD51 are mutated concurrently and cells are subjected to dimethyl sulfate, what synthetic genetic interaction arises under these conditions?","In Saccharomyces cerevisiae, if both GUP1 and RAD51 are mutated concurrently and cells are subjected to dimethyl sulfate, what synthetic genetic interaction arises under these conditions?"
GUP1,BDF2,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of GUP1 and BDF2 affect the cell's behavior when exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of GUP1 and BDF2 affect the cell's behavior when exposed to dimethyl sulfate?"
GUS1,RAD51,DMS,non-sl,"In Saccharomyces cerevisiae carrying mutations in both GUS1 and RAD51 under exposure to dimethyl sulfate, how do these concurrent genetic alterations influence cell viability and overall stress response?","In Saccharomyces cerevisiae carrying mutations in both GUS1 and RAD51 under exposure to dimethyl sulfate, how do these concurrent genetic alterations influence cell viability and overall stress response?"
MRP8,RAD51,DMS,synthetic lethality,"In Saccharomyces cerevisiae cells exposed to dimethyl sulfate, how does the concurrent mutation of MRP8 and RAD51 affect the genetic network under this specific stress condition?","In Saccharomyces cerevisiae cells exposed to dimethyl sulfate, how does the concurrent mutation of MRP8 and RAD51 affect the genetic network under this specific stress condition?"
MRP8,RAD57,DMS,non-sl,"In Saccharomyces cerevisiae, what is the observed outcome of concurrently mutating MRP8 and RAD57 when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, what is the observed outcome of concurrently mutating MRP8 and RAD57 when the cells are exposed to dimethyl sulfate?"
NCP1,RAD51,DMS,non-sl,"In Saccharomyces cerevisiae carrying concurrent mutations in NCP1 and RAD51, what synthetic genetic interaction emerges when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae carrying concurrent mutations in NCP1 and RAD51, what synthetic genetic interaction emerges when cells are exposed to dimethyl sulfate?"
PFK1,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, what synthetic genetic interplay emerges when both PFK1 and RAD23 are disrupted during exposure to dimethyl sulfate?","In Saccharomyces cerevisiae, what synthetic genetic interplay emerges when both PFK1 and RAD23 are disrupted during exposure to dimethyl sulfate?"
PFK1,RAD57,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of PFK1 and RAD57 impact cellular viability when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of PFK1 and RAD57 impact cellular viability when the cells are exposed to dimethyl sulfate?"
ARO2,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae, if both ARO2 and RAD23 are disrupted and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction emerges under these test conditions?","In Saccharomyces cerevisiae, if both ARO2 and RAD23 are disrupted and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction emerges under these test conditions?"
STP22,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when the STP22 and RPD3 genes are concurrently mutated and the cells are exposed to dimethyl sulfate, what type of genetic interplay might be expected?","In Saccharomyces cerevisiae, when the STP22 and RPD3 genes are concurrently mutated and the cells are exposed to dimethyl sulfate, what type of genetic interplay might be expected?"
STP22,RSC1,DMS,non-sl,"In Saccharomyces cerevisiae, when both STP22 and RSC1 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction can be observed?","In Saccharomyces cerevisiae, when both STP22 and RSC1 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction can be observed?"
BRL1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when both BRL1 and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what cellular phenotype results from this combination of alterations?","In Saccharomyces cerevisiae, when both BRL1 and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what cellular phenotype results from this combination of alterations?"
PEP12,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the alteration of both PEP12 and RPD3 affect genetic interactions under the stress of dimethyl sulfate exposure?","In Saccharomyces cerevisiae, how does the alteration of both PEP12 and RPD3 affect genetic interactions under the stress of dimethyl sulfate exposure?"
PEP12,SAK1,DMS,non-sl,"In Saccharomyces cerevisiae, what kind of genetic interplay is observed when both the PEP12 and SAK1 genes are concurrently mutated under conditions of dimethyl sulfate treatment?","In Saccharomyces cerevisiae, what kind of genetic interplay is observed when both the PEP12 and SAK1 genes are concurrently mutated under conditions of dimethyl sulfate treatment?"
APA1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when cells harbor mutations in both APA1 and RPD3 and are exposed to dimethyl sulfate, what synthetic genetic interaction phenotype manifests?","In Saccharomyces cerevisiae, when cells harbor mutations in both APA1 and RPD3 and are exposed to dimethyl sulfate, what synthetic genetic interaction phenotype manifests?"
VPS20,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae engineered with simultaneous mutations in VPS20 and RAD23 and exposed to dimethyl sulfate, could you elaborate on the observed synthetic genetic interaction?","In Saccharomyces cerevisiae engineered with simultaneous mutations in VPS20 and RAD23 and exposed to dimethyl sulfate, could you elaborate on the observed synthetic genetic interaction?"
VPS20,CDC73,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the cell phenotype alter when both VPS20 and CDC73 are concurrently inactivated?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the cell phenotype alter when both VPS20 and CDC73 are concurrently inactivated?"
GAS4,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae, if both GAS4 and RAD23 are concurrently mutated and the cells are grown under dimethyl sulfate conditions, what synthetic genetic interaction should we expect to observe?","In Saccharomyces cerevisiae, if both GAS4 and RAD23 are concurrently mutated and the cells are grown under dimethyl sulfate conditions, what synthetic genetic interaction should we expect to observe?"
RAD52,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae with concurrent mutations in RAD52 and RPD3 under exposure to dimethyl sulfate, could you elaborate on the observed synthetic genetic effects influencing cell viability and stress response?","In Saccharomyces cerevisiae with concurrent mutations in RAD52 and RPD3 under exposure to dimethyl sulfate, could you elaborate on the observed synthetic genetic effects influencing cell viability and stress response?"
RAD52,CHD1,DMS,non-sl,"In Saccharomyces cerevisiae, how does concurrent inactivation of RAD52 and CHD1 affect cellular phenotypes when the cells are cultured in the presence of dimethyl sulfate?","In Saccharomyces cerevisiae, how does concurrent inactivation of RAD52 and CHD1 affect cellular phenotypes when the cells are cultured in the presence of dimethyl sulfate?"
YDL121C,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, what genetic interplay emerges between the mutations in YDL121C and RPD3 when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, what genetic interplay emerges between the mutations in YDL121C and RPD3 when cells are exposed to dimethyl sulfate?"
SUV3,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae strains harboring mutations in both the SUV3 and RPD3 genes and subjected to dimethyl sulfate treatment, what synthetic genetic interaction phenotype is observed?","In Saccharomyces cerevisiae strains harboring mutations in both the SUV3 and RPD3 genes and subjected to dimethyl sulfate treatment, what synthetic genetic interaction phenotype is observed?"
SUV3,YNL097C,DMS,non-sl,"In Saccharomyces cerevisiae, when SUV3 and YNL097C are both mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed under these experimental conditions?","In Saccharomyces cerevisiae, when SUV3 and YNL097C are both mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed under these experimental conditions?"
YPL264C,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, if we create a double mutant by disrupting YPL264C and RPD3 and subsequently expose the cells to dimethyl sulfate, what synthetic genetic interaction do you observe under these conditions?","In Saccharomyces cerevisiae, if we create a double mutant by disrupting YPL264C and RPD3 and subsequently expose the cells to dimethyl sulfate, what synthetic genetic interaction do you observe under these conditions?"
COX18,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the combined mutation in COX18 and RPD3 influence cellular phenotypes when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the combined mutation in COX18 and RPD3 influence cellular phenotypes when cells are exposed to dimethyl sulfate?"
COX18,RSC2,DMS,non-sl,"In Saccharomyces cerevisiae, what synthetic effect emerges when both COX18 and RSC2 are concurrently mutated in cells exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, what synthetic effect emerges when both COX18 and RSC2 are concurrently mutated in cells exposed to dimethyl sulfate?"
SNX3,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, what synthetic genetic interaction is observed when SNX3 and RPD3 are both mutated under exposure to dimethyl sulfate?","In Saccharomyces cerevisiae, what synthetic genetic interaction is observed when SNX3 and RPD3 are both mutated under exposure to dimethyl sulfate?"
ATP7,RAD51,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when cells harbor mutations in both ATP7 and RAD51 and are grown with dimethyl sulfate, how does the genetic interplay manifest?","In Saccharomyces cerevisiae, when cells harbor mutations in both ATP7 and RAD51 and are grown with dimethyl sulfate, how does the genetic interplay manifest?"
ATP7,BDF2,DMS,non-sl,"In Saccharomyces cerevisiae, how do cells with concurrent mutations in ATP7 and BDF2 behave when cultured in the presence of dimethyl sulfate?","In Saccharomyces cerevisiae, how do cells with concurrent mutations in ATP7 and BDF2 behave when cultured in the presence of dimethyl sulfate?"
PDC1,RAD51,DMS,non-sl,"In Saccharomyces cerevisiae treated with dimethyl sulfate, what outcome do we observe when both PDC1 and RAD51 are concurrently mutated?","In Saccharomyces cerevisiae treated with dimethyl sulfate, what outcome do we observe when both PDC1 and RAD51 are concurrently mutated?"
CUS2,MSH6,DMS,synthetic lethality,"In Saccharomyces cerevisiae cells bearing mutations in both CUS2 and MSH6, how does the genetic interplay manifest when the strains are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae cells bearing mutations in both CUS2 and MSH6, how does the genetic interplay manifest when the strains are exposed to dimethyl sulfate?"
CUS2,MEU1,DMS,non-sl,"In Saccharomyces cerevisiae, when both CUS2 and MEU1 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic effect is observed in terms of cellular growth or viability?","In Saccharomyces cerevisiae, when both CUS2 and MEU1 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic effect is observed in terms of cellular growth or viability?"
