gene_a,gene_b,condition,interaction,user_question,full_query
RIP1,DNL4,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of RIP1 and DNL4 influence cell response when exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of RIP1 and DNL4 influence cell response when exposed to bleomycin?"
CHS1,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the combined mutation of CHS1 and DST1 impact cell growth and viability, and what synthetic genetic interaction does this dual alteration reveal?","In Saccharomyces cerevisiae exposed to bleomycin, how does the combined mutation of CHS1 and DST1 impact cell growth and viability, and what synthetic genetic interaction does this dual alteration reveal?"
AIM25,RPD3,BLEO,synthetic lethality,"In experiments with Saccharomyces cerevisiae treated with bleomycin, we engineered concurrent mutations in AIM25 and RPD3. Could you explain the synthetic genetic interplay observed under these conditions?","In experiments with Saccharomyces cerevisiae treated with bleomycin, we engineered concurrent mutations in AIM25 and RPD3. Could you explain the synthetic genetic interplay observed under these conditions?"
AIM25,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of AIM25 and RAD51 influence cell behavior when the cells are subjected to treatment with bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of AIM25 and RAD51 influence cell behavior when the cells are subjected to treatment with bleomycin?"
TFG1,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, what synthetic genetic interplay would you predict when both TFG1 and RPD3 are mutated concurrently?","In Saccharomyces cerevisiae treated with bleomycin, what synthetic genetic interplay would you predict when both TFG1 and RPD3 are mutated concurrently?"
CDC42,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when CDC42 and DST1 are concurrently mutated and cells are exposed to bleomycin, how is the interaction between these mutations reflected in the cellular phenotype?","In Saccharomyces cerevisiae, when CDC42 and DST1 are concurrently mutated and cells are exposed to bleomycin, how is the interaction between these mutations reflected in the cellular phenotype?"
CDC42,SGS1,BLEO,non-sl,"In a Saccharomyces cerevisiae strain carrying mutations in both CDC42 and SGS1, how does the cellular phenotype change upon treatment with bleomycin compared to each individual mutation?","In a Saccharomyces cerevisiae strain carrying mutations in both CDC42 and SGS1, how does the cellular phenotype change upon treatment with bleomycin compared to each individual mutation?"
CTT1,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae engineered to harbor mutations in both CTT1 and DST1 and grown in the presence of bleomycin, how would you characterize the resulting synthetic genetic interaction?","In Saccharomyces cerevisiae engineered to harbor mutations in both CTT1 and DST1 and grown in the presence of bleomycin, how would you characterize the resulting synthetic genetic interaction?"
SRO7,RAD9,BLEO,synthetic lethality,"In Saccharomyces cerevisiae carrying concurrent mutations in SRO7 and RAD9, how does bleomycin exposure affect the interplay between these gene disruptions at the cellular level?","In Saccharomyces cerevisiae carrying concurrent mutations in SRO7 and RAD9, how does bleomycin exposure affect the interplay between these gene disruptions at the cellular level?"
SRO7,TOS3,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation in SRO7 and TOS3 alter cellular phenotypes when the cells are exposed to bleomycin treatment?","In Saccharomyces cerevisiae, how does the concurrent mutation in SRO7 and TOS3 alter cellular phenotypes when the cells are exposed to bleomycin treatment?"
SHE3,RAD9,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the dual mutation of SHE3 and RAD9 affect cellular behavior when the cells are exposed to bleomycin, and what synthetic interaction emerges from this combined genetic alteration?","In Saccharomyces cerevisiae, how does the dual mutation of SHE3 and RAD9 affect cellular behavior when the cells are exposed to bleomycin, and what synthetic interaction emerges from this combined genetic alteration?"
VPS33,TEL1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, we engineered concurrent mutations in VPS33 and TEL1. Could you detail the synthetic genetic interaction observed when these cells are exposed to bleomycin?","In Saccharomyces cerevisiae, we engineered concurrent mutations in VPS33 and TEL1. Could you detail the synthetic genetic interaction observed when these cells are exposed to bleomycin?"
VPS33,CDC73,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of VPS33 and CDC73 influence cellular behavior when the cells are grown under bleomycin treatment?","In Saccharomyces cerevisiae, how does the concurrent mutation of VPS33 and CDC73 influence cellular behavior when the cells are grown under bleomycin treatment?"
YBR200W-A,TEL1,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of YBR200W-A and TEL1 affect cell viability and overall function, and what synthetic genetic relationship is observed under these conditions?","In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of YBR200W-A and TEL1 affect cell viability and overall function, and what synthetic genetic relationship is observed under these conditions?"
MRE11,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the co-occurrence of mutations in MRE11 and RPD3 affect cell behavior when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the co-occurrence of mutations in MRE11 and RPD3 affect cell behavior when the cells are exposed to bleomycin?"
MRE11,RAD57,BLEO,non-sl,"In Saccharomyces cerevisiae strains carrying mutations in both MRE11 and RAD57, what synthetic genetic interaction should we expect when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae strains carrying mutations in both MRE11 and RAD57, what synthetic genetic interaction should we expect when the cells are exposed to bleomycin?"
OCA6,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae cells bearing concurrent disruptions in OCA6 and RPD3, when exposed to bleomycin, what overall cellular phenotype emerges compared to cells with only one mutation?","In Saccharomyces cerevisiae cells bearing concurrent disruptions in OCA6 and RPD3, when exposed to bleomycin, what overall cellular phenotype emerges compared to cells with only one mutation?"
MDM20,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae with concurrent mutations in MDM20 and DST1, and when cells undergo exposure to bleomycin, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae with concurrent mutations in MDM20 and DST1, and when cells undergo exposure to bleomycin, what synthetic genetic interaction is observed?"
MDM20,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae strains carrying concurrent mutations in MDM20 and SGS1, how does exposure to bleomycin influence the cell's genetic interaction profile?","In Saccharomyces cerevisiae strains carrying concurrent mutations in MDM20 and SGS1, how does exposure to bleomycin influence the cell's genetic interaction profile?"
VAN1,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, what synthetic genetic effect is observed when both VAN1 and DST1 are mutated, particularly under treatment with bleomycin?","In Saccharomyces cerevisiae, what synthetic genetic effect is observed when both VAN1 and DST1 are mutated, particularly under treatment with bleomycin?"
YBR090C-A,CUL3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, what genetic interplay is observed when both YBR090C-A and CUL3 are mutated concurrently?","In Saccharomyces cerevisiae exposed to bleomycin, what genetic interplay is observed when both YBR090C-A and CUL3 are mutated concurrently?"
YBR090C-A,JHD2,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the interplay between mutations in YBR090C-A and JHD2 manifest when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the interplay between mutations in YBR090C-A and JHD2 manifest when the cells are exposed to bleomycin?"
PRE8,CUL3,BLEO,non-sl,"In Saccharomyces cerevisiae, with the concurrent mutation of PRE8 and CUL3 under bleomycin exposure, what form of synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, with the concurrent mutation of PRE8 and CUL3 under bleomycin exposure, what form of synthetic genetic interaction is observed?"
PAR32,DST1,BLEO,synthetic lethality,"In experiments with Saccharomyces cerevisiae under bleomycin treatment, we have constructed strains bearing mutations in both PAR32 and DST1. Could you provide insights into the genetic interplay observed in the double mutant relative to the single mutants under these conditions?","In experiments with Saccharomyces cerevisiae under bleomycin treatment, we have constructed strains bearing mutations in both PAR32 and DST1. Could you provide insights into the genetic interplay observed in the double mutant relative to the single mutants under these conditions?"
PAR32,SSM4,BLEO,non-sl,"In Saccharomyces cerevisiae subjected to bleomycin treatment, how does the disruption of PAR32 in combination with SSM4 affect cellular behavior?","In Saccharomyces cerevisiae subjected to bleomycin treatment, how does the disruption of PAR32 in combination with SSM4 affect cellular behavior?"
YMR193C-A,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae with concurrent mutations in YMR193C-A and DST1 under bleomycin treatment, could you clarify the resulting synthetic genetic interaction observed?","In Saccharomyces cerevisiae with concurrent mutations in YMR193C-A and DST1 under bleomycin treatment, could you clarify the resulting synthetic genetic interaction observed?"
CUP9,RAD54,BLEO,synthetic lethality,"In Saccharomyces cerevisiae cells carrying concurrent mutations in CUP9 and RAD54, how does the genetic interaction manifest when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae cells carrying concurrent mutations in CUP9 and RAD54, how does the genetic interaction manifest when the cells are exposed to bleomycin?"
CUP9,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both CUP9 and SGS1 have been altered concurrently and cells are exposed to bleomycin, what synthetic genetic behavior is observed?","In Saccharomyces cerevisiae, when both CUP9 and SGS1 have been altered concurrently and cells are exposed to bleomycin, what synthetic genetic behavior is observed?"
RMT2,RAD54,BLEO,non-sl,"In Saccharomyces cerevisiae cultured under bleomycin treatment, how does the simultaneous mutation of RMT2 and RAD54 affect cellular viability and what synthetic genetic interaction might be observed?","In Saccharomyces cerevisiae cultured under bleomycin treatment, how does the simultaneous mutation of RMT2 and RAD54 affect cellular viability and what synthetic genetic interaction might be observed?"
NIT2,RAD51,BLEO,synthetic lethality,"In Saccharomyces cerevisiae where both NIT2 and RAD51 have been concurrently mutated, how do the cells respond under treatment with bleomycin in terms of synthetic genetic interaction?","In Saccharomyces cerevisiae where both NIT2 and RAD51 have been concurrently mutated, how do the cells respond under treatment with bleomycin in terms of synthetic genetic interaction?"
NIT2,MSH6,BLEO,non-sl,"In Saccharomyces cerevisiae, when both NIT2 and MSH6 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction can be observed?","In Saccharomyces cerevisiae, when both NIT2 and MSH6 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction can be observed?"
SMD1,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the interaction between mutations in SMD1 and RAD51 influence the cellular response when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the interaction between mutations in SMD1 and RAD51 influence the cellular response when the cells are exposed to bleomycin?"
MTQ2,MSH6,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both MTQ2 and MSH6 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed regarding their impact on cell viability?","In Saccharomyces cerevisiae, when both MTQ2 and MSH6 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed regarding their impact on cell viability?"
MTQ2,BLM10,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the combined mutation of MTQ2 and BLM10 influence the overall genetic interaction profile?","In Saccharomyces cerevisiae exposed to bleomycin, how does the combined mutation of MTQ2 and BLM10 influence the overall genetic interaction profile?"
YDR338C,MSH6,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of YDR338C and MSH6 manifest in terms of synthetic genetic interaction?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of YDR338C and MSH6 manifest in terms of synthetic genetic interaction?"
EAR1,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both EAR1 and RPD3 are concurrently mutated and cells are exposed to bleomycin, what synthetic genetic interaction do you observe?","In Saccharomyces cerevisiae, when both EAR1 and RPD3 are concurrently mutated and cells are exposed to bleomycin, what synthetic genetic interaction do you observe?"
EAR1,SIN3,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of EAR1 and SIN3 affect the cellular response when the cells are treated with bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of EAR1 and SIN3 affect the cellular response when the cells are treated with bleomycin?"
RIF1,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae cells exposed to bleomycin, what synthetic genetic interaction arises when both RIF1 and RPD3 are concurrently mutated?","In Saccharomyces cerevisiae cells exposed to bleomycin, what synthetic genetic interaction arises when both RIF1 and RPD3 are concurrently mutated?"
GEP4,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both GEP4 and DST1 are concurrently mutated and the cells are subjected to bleomycin treatment, what type of synthetic genetic interaction can be observed?","In Saccharomyces cerevisiae, when both GEP4 and DST1 are concurrently mutated and the cells are subjected to bleomycin treatment, what type of synthetic genetic interaction can be observed?"
GEP4,BDF1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous mutation of GEP4 and BDF1 influence cell behavior when exposed to bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous mutation of GEP4 and BDF1 influence cell behavior when exposed to bleomycin?"
GSF2,DST1,BLEO,non-sl,How does the concurrent mutation of GSF2 and DST1 in Saccharomyces cerevisiae influence the synthetic genetic interaction when the cells are exposed to bleomycin?,How does the concurrent mutation of GSF2 and DST1 in Saccharomyces cerevisiae influence the synthetic genetic interaction when the cells are exposed to bleomycin?
TRK1,MSH6,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when cells with mutations in both TRK1 and MSH6 are exposed to bleomycin, how does this dual perturbation affect the overall genetic interaction profile?","In Saccharomyces cerevisiae, when cells with mutations in both TRK1 and MSH6 are exposed to bleomycin, how does this dual perturbation affect the overall genetic interaction profile?"
TRK1,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both TRK1 and SGS1 are mutated and the cells are exposed to bleomycin, what kind of synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both TRK1 and SGS1 are mutated and the cells are exposed to bleomycin, what kind of synthetic genetic interaction is observed?"
CCR4,MSH6,BLEO,non-sl,"In Saccharomyces cerevisiae with concurrent mutations in CCR4 and MSH6, under the condition of bleomycin treatment, what synthetic genetic interaction do you observe?","In Saccharomyces cerevisiae with concurrent mutations in CCR4 and MSH6, under the condition of bleomycin treatment, what synthetic genetic interaction do you observe?"
YBL073W,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the combined mutation of YBL073W and DST1 affect cellular behavior when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the combined mutation of YBL073W and DST1 affect cellular behavior when cells are exposed to bleomycin?"
YBL073W,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when cells exhibit mutations in both YBL073W and SGS1 and are exposed to bleomycin, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when cells exhibit mutations in both YBL073W and SGS1 and are exposed to bleomycin, what synthetic genetic interaction is observed?"
SDH4,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of SDH4 and DST1 affect cellular phenotypes when subjected to bleomycin treatment?","In Saccharomyces cerevisiae, how does the concurrent mutation of SDH4 and DST1 affect cellular phenotypes when subjected to bleomycin treatment?"
CHO2,RSC1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, how do the combined mutations in CHO2 and RSC1 interact genetically?","In Saccharomyces cerevisiae exposed to bleomycin, how do the combined mutations in CHO2 and RSC1 interact genetically?"
CHO2,ELC1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the cellular phenotype change when both CHO2 and ELC1 are mutated and the cells are treated with bleomycin?","In Saccharomyces cerevisiae, how does the cellular phenotype change when both CHO2 and ELC1 are mutated and the cells are treated with bleomycin?"
ISF1,RSC1,BLEO,non-sl,"In Saccharomyces cerevisiae, with concurrent mutations in ISF1 and RSC1 under bleomycin exposure, what synthetic genetic interaction would you anticipate manifesting in cellular phenotype?","In Saccharomyces cerevisiae, with concurrent mutations in ISF1 and RSC1 under bleomycin exposure, what synthetic genetic interaction would you anticipate manifesting in cellular phenotype?"
CHO2,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent disruption of CHO2 and RPD3 affect the cellular behavior?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent disruption of CHO2 and RPD3 affect the cellular behavior?"
CHO2,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, could you explain the observed genetic interplay when CHO2 and DST1 are simultaneously mutated and the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, could you explain the observed genetic interplay when CHO2 and DST1 are simultaneously mutated and the cells are exposed to bleomycin?"
YIL089W,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, when both YIL089W and RPD3 have been mutated and the cells are grown in the presence of bleomycin, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both YIL089W and RPD3 have been mutated and the cells are grown in the presence of bleomycin, what synthetic genetic interaction is observed?"
PGU1,RAD51,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, how does the simultaneous mutation of PGU1 and RAD51 influence cellular behavior, and what genetic interdependency is observed under this DNA-damaging condition?","In Saccharomyces cerevisiae exposed to bleomycin, how does the simultaneous mutation of PGU1 and RAD51 influence cellular behavior, and what genetic interdependency is observed under this DNA-damaging condition?"
PGU1,RAD57,BLEO,non-sl,"In Saccharomyces cerevisiae, when mutations in PGU1 and RAD57 are simultaneously introduced and cells are exposed to bleomycin, what synthetic genetic interaction do you observe?","In Saccharomyces cerevisiae, when mutations in PGU1 and RAD57 are simultaneously introduced and cells are exposed to bleomycin, what synthetic genetic interaction do you observe?"
LRE1,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae cells engineered with mutations in both LRE1 and RAD51, and then exposed to bleomycin, what synthetic genetic interaction phenotype is observed?","In Saccharomyces cerevisiae cells engineered with mutations in both LRE1 and RAD51, and then exposed to bleomycin, what synthetic genetic interaction phenotype is observed?"
CCE1,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae cultures exposed to bleomycin, could you explain how co-mutation of CCE1 and DST1 influences cellular responses, particularly in terms of synthetic genetic interaction outcomes?","In Saccharomyces cerevisiae cultures exposed to bleomycin, could you explain how co-mutation of CCE1 and DST1 influences cellular responses, particularly in terms of synthetic genetic interaction outcomes?"
CCE1,RAD23,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous disruption of CCE1 and RAD23 under bleomycin treatment alter cellular behavior, and what synthetic genetic interplay emerges?","In Saccharomyces cerevisiae, how does the simultaneous disruption of CCE1 and RAD23 under bleomycin treatment alter cellular behavior, and what synthetic genetic interplay emerges?"
FHL1,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae cells with mutations in FHL1 and DST1, how do these genetic alterations interact under a bleomycin treatment condition?","In Saccharomyces cerevisiae cells with mutations in FHL1 and DST1, how do these genetic alterations interact under a bleomycin treatment condition?"
PRP28,RAD54,BLEO,synthetic lethality,"In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of PRP28 and RAD54 influence cell behavior?","In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of PRP28 and RAD54 influence cell behavior?"
PRP28,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae subjected to bleomycin exposure, where mutations in PRP28 and SGS1 occur concurrently, what synthetic genetic interaction might be observed between these two alleles?","In Saccharomyces cerevisiae subjected to bleomycin exposure, where mutations in PRP28 and SGS1 occur concurrently, what synthetic genetic interaction might be observed between these two alleles?"
ERG10,RAD54,BLEO,non-sl,"In Saccharomyces cerevisiae, when ERG10 and RAD54 are both impaired under exposure to bleomycin, what synthetic genetic interaction would you predict to arise?","In Saccharomyces cerevisiae, when ERG10 and RAD54 are both impaired under exposure to bleomycin, what synthetic genetic interaction would you predict to arise?"
