gene_a,gene_b,condition,interaction,user_question,full_query
CHS6,ELC1,BLEO,non-sl,"In Saccharomyces cerevisiae, with CHS6 and ELC1 both knocked out and cells treated with bleomycin, what synthetic genetic interaction do you observe?","In Saccharomyces cerevisiae, with CHS6 and ELC1 both knocked out and cells treated with bleomycin, what synthetic genetic interaction do you observe?"
GIP2,RAD9,BLEO,non-sl,"In Saccharomyces cerevisiae, I have created a strain carrying mutations in both GIP2 and RAD9 and am exposing it to bleomycin. Could you share your insights on the resulting synthetic genetic interaction under these specific experimental conditions?","In Saccharomyces cerevisiae, I have created a strain carrying mutations in both GIP2 and RAD9 and am exposing it to bleomycin. Could you share your insights on the resulting synthetic genetic interaction under these specific experimental conditions?"
DID4,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of DID4 and DST1 affect cellular behavior when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of DID4 and DST1 affect cellular behavior when the cells are exposed to bleomycin?"
DID4,IRA1,BLEO,non-sl,"In Saccharomyces cerevisiae, if we introduce simultaneous mutations in DID4 and IRA1 and then expose the cells to bleomycin, what synthetic genetic interaction should we anticipate?","In Saccharomyces cerevisiae, if we introduce simultaneous mutations in DID4 and IRA1 and then expose the cells to bleomycin, what synthetic genetic interaction should we anticipate?"
UTR2,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, when cells with mutations in UTR2 and DST1 are exposed to bleomycin, what kind of synthetic genetic interaction do you observe?","In Saccharomyces cerevisiae, when cells with mutations in UTR2 and DST1 are exposed to bleomycin, what kind of synthetic genetic interaction do you observe?"
UTP23,RAD9,BLEO,synthetic lethality,"In Saccharomyces cerevisiae treated with bleomycin, how does the simultaneous mutation of UTP23 and RAD9 impact the overall genetic interaction observed?","In Saccharomyces cerevisiae treated with bleomycin, how does the simultaneous mutation of UTP23 and RAD9 impact the overall genetic interaction observed?"
UTP23,CDC4,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the simultaneous mutation of UTP23 and CDC4 affect cellular fitness relative to the individual gene defects?","In Saccharomyces cerevisiae exposed to bleomycin, how does the simultaneous mutation of UTP23 and CDC4 affect cellular fitness relative to the individual gene defects?"
YER121W,RAD9,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the simultaneous mutation of YER121W and RAD9 influence the overall genetic interaction profile?","In Saccharomyces cerevisiae exposed to bleomycin, how does the simultaneous mutation of YER121W and RAD9 influence the overall genetic interaction profile?"
YNL296W,IRA1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae subjected to bleomycin treatment, what genetic interaction arises when both YNL296W and IRA1 are concurrently mutated?","In Saccharomyces cerevisiae subjected to bleomycin treatment, what genetic interaction arises when both YNL296W and IRA1 are concurrently mutated?"
YNL296W,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of YNL296W and SGS1 influence cellular outcomes, and what synthetic genetic interaction emerges under this condition?","In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of YNL296W and SGS1 influence cellular outcomes, and what synthetic genetic interaction emerges under this condition?"
FCF1,IRA1,BLEO,non-sl,"In Saccharomyces cerevisiae harboring concurrent mutations in FCF1 and IRA1, how does the cellular response change when the cells are treated with bleomycin?","In Saccharomyces cerevisiae harboring concurrent mutations in FCF1 and IRA1, how does the cellular response change when the cells are treated with bleomycin?"
ILM1,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the simultaneous impairment of ILM1 and DST1 modulate cell behavior when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous impairment of ILM1 and DST1 modulate cell behavior when cells are exposed to bleomycin?"
ILM1,CDC73,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of ILM1 and CDC73 influence the overall cellular phenotype, suggesting an underlying synthetic genetic interaction?","In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of ILM1 and CDC73 influence the overall cellular phenotype, suggesting an underlying synthetic genetic interaction?"
TOM5,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous disruption of TOM5 and DST1 affect cellular behavior when grown in the presence of bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous disruption of TOM5 and DST1 affect cellular behavior when grown in the presence of bleomycin?"
MCD4,RSC1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae cells with mutations in both MCD4 and RSC1 and subjected to bleomycin treatment, how do these genetic alterations interact and impact cellular function?","In Saccharomyces cerevisiae cells with mutations in both MCD4 and RSC1 and subjected to bleomycin treatment, how do these genetic alterations interact and impact cellular function?"
MCD4,RAD9,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of MCD4 and RAD9 affect the overall genetic interaction observed in these cells?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of MCD4 and RAD9 affect the overall genetic interaction observed in these cells?"
VBA5,RSC1,BLEO,non-sl,"In Saccharomyces cerevisiae, when VBA5 and RSC1 are concurrently mutated and cells are cultivated in the presence of bleomycin, what synthetic genetic interplay is evident?","In Saccharomyces cerevisiae, when VBA5 and RSC1 are concurrently mutated and cells are cultivated in the presence of bleomycin, what synthetic genetic interplay is evident?"
ISU1,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, if we concurrently mutate the ISU1 and RPD3 genes and expose the cells to bleomycin, what synthetic interaction between these mutations has been observed?","In Saccharomyces cerevisiae, if we concurrently mutate the ISU1 and RPD3 genes and expose the cells to bleomycin, what synthetic interaction between these mutations has been observed?"
ISU1,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae cells concurrently mutated at ISU1 and SGS1 and grown in the presence of bleomycin, what synthetic genetic interaction has been observed between these gene alterations?","In Saccharomyces cerevisiae cells concurrently mutated at ISU1 and SGS1 and grown in the presence of bleomycin, what synthetic genetic interaction has been observed between these gene alterations?"
ECM2,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, when ECM2 and RPD3 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction emerges under these experimental conditions?","In Saccharomyces cerevisiae, when ECM2 and RPD3 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction emerges under these experimental conditions?"
LEO1,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae harboring a concurrent mutation in LEO1 and RPD3 during bleomycin treatment, what synthetic genetic interaction emerges?","In Saccharomyces cerevisiae harboring a concurrent mutation in LEO1 and RPD3 during bleomycin treatment, what synthetic genetic interaction emerges?"
LEO1,RSC2,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the combined mutation of LEO1 and RSC2 impact cellular physiology when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the combined mutation of LEO1 and RSC2 impact cellular physiology when cells are exposed to bleomycin?"
SFB2,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous mutation of SFB2 and RPD3 modify the cellular response when yeast cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous mutation of SFB2 and RPD3 modify the cellular response when yeast cells are exposed to bleomycin?"
FEN2,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent disruption of FEN2 and RPD3 influence cellular behavior when cultures are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent disruption of FEN2 and RPD3 influence cellular behavior when cultures are exposed to bleomycin?"
FEN2,ELG1,BLEO,non-sl,"In Saccharomyces cerevisiae carrying concurrent mutations in FEN2 and ELG1 and exposed to bleomycin, what synthetic genetic interaction can be observed between these two genes?","In Saccharomyces cerevisiae carrying concurrent mutations in FEN2 and ELG1 and exposed to bleomycin, what synthetic genetic interaction can be observed between these two genes?"
RRD2,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae cultures treated with bleomycin, how does the simultaneous mutation of RRD2 and RPD3 affect the cellular network, and what synthetic genetic interaction profile is observed?","In Saccharomyces cerevisiae cultures treated with bleomycin, how does the simultaneous mutation of RRD2 and RPD3 affect the cellular network, and what synthetic genetic interaction profile is observed?"
YML010W-A,TEL1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both YML010W-A and TEL1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction manifests under these conditions?","In Saccharomyces cerevisiae, when both YML010W-A and TEL1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction manifests under these conditions?"
YML010W-A,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, how does the simultaneous mutation of YML010W-A and SGS1 affect cellular phenotype, and what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae treated with bleomycin, how does the simultaneous mutation of YML010W-A and SGS1 affect cellular phenotype, and what synthetic genetic interaction is observed?"
RRN5,TEL1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both RRN5 and TEL1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction emerges?","In Saccharomyces cerevisiae, when both RRN5 and TEL1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction emerges?"
ERP4,RAD9,BLEO,synthetic lethality,"In Saccharomyces cerevisiae strains bearing mutations in both ERP4 and RAD9, how does bleomycin treatment illuminate the synthetic genetic interaction between these two genes compared to their individual disruptions?","In Saccharomyces cerevisiae strains bearing mutations in both ERP4 and RAD9, how does bleomycin treatment illuminate the synthetic genetic interaction between these two genes compared to their individual disruptions?"
ERP4,RSC1,BLEO,non-sl,"In Saccharomyces cerevisiae, we generated a strain carrying mutations in ERP4 and RSC1 and exposed it to bleomycin. Could you elaborate on the resulting synthetic genetic interaction observed under these conditions?","In Saccharomyces cerevisiae, we generated a strain carrying mutations in ERP4 and RSC1 and exposed it to bleomycin. Could you elaborate on the resulting synthetic genetic interaction observed under these conditions?"
RGA1,RAD9,BLEO,non-sl,"In Saccharomyces cerevisiae, if both RGA1 and RAD9 are mutated and cells are incubated in the presence of bleomycin, what synthetic genetic interaction do you anticipate emerging from this combined alteration?","In Saccharomyces cerevisiae, if both RGA1 and RAD9 are mutated and cells are incubated in the presence of bleomycin, what synthetic genetic interaction do you anticipate emerging from this combined alteration?"
SSZ1,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae subjected to bleomycin treatment, what genetic outcomes arise when SSZ1 and RPD3 are both mutated?","In Saccharomyces cerevisiae subjected to bleomycin treatment, what genetic outcomes arise when SSZ1 and RPD3 are both mutated?"
SSZ1,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, if the SSZ1 and SGS1 genes are concurrently mutated and the cells are exposed to bleomycin, what outcome regarding their combined genetic interaction should we expect under these treatment conditions?","In Saccharomyces cerevisiae, if the SSZ1 and SGS1 genes are concurrently mutated and the cells are exposed to bleomycin, what outcome regarding their combined genetic interaction should we expect under these treatment conditions?"
YBR051W,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, when the YBR051W and RPD3 genes are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when the YBR051W and RPD3 genes are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed?"
COG1,RAD9,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the simultaneous mutation of COG1 and RAD9 influence genetic outcomes when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous mutation of COG1 and RAD9 influence genetic outcomes when cells are exposed to bleomycin?"
COG1,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when cells are exposed to bleomycin and carry mutations in both COG1 and SGS1, how does the interplay of these alterations manifest at the genetic interaction level?","In Saccharomyces cerevisiae, when cells are exposed to bleomycin and carry mutations in both COG1 and SGS1, how does the interplay of these alterations manifest at the genetic interaction level?"
YMR099C,RAD9,BLEO,non-sl,"In Saccharomyces cerevisiae with concurrent mutations in YMR099C and RAD9, how does the synthetic genetic interaction present itself when the cells are subjected to bleomycin treatment?","In Saccharomyces cerevisiae with concurrent mutations in YMR099C and RAD9, how does the synthetic genetic interaction present itself when the cells are subjected to bleomycin treatment?"
ECM23,RAD1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, we generated a strain with mutations in both ECM23 and RAD1 and treated it with bleomycin. Could you explain the resulting synthetic genetic interaction observed under these conditions?","In Saccharomyces cerevisiae, we generated a strain with mutations in both ECM23 and RAD1 and treated it with bleomycin. Could you explain the resulting synthetic genetic interaction observed under these conditions?"
ECM23,SET2,BLEO,non-sl,"In Saccharomyces cerevisiae, I have generated a strain with concurrent mutations in ECM23 and SET2 and subjected it to treatment with bleomycin. Could you detail the resulting synthetic genetic interaction observed under these conditions?","In Saccharomyces cerevisiae, I have generated a strain with concurrent mutations in ECM23 and SET2 and subjected it to treatment with bleomycin. Could you detail the resulting synthetic genetic interaction observed under these conditions?"
SPO21,RAD1,BLEO,non-sl,"In Saccharomyces cerevisiae cells carrying mutations in SPO21 and RAD1 exposed to bleomycin, what type of genetic interaction emerges between these two alterations under this experimental condition?","In Saccharomyces cerevisiae cells carrying mutations in SPO21 and RAD1 exposed to bleomycin, what type of genetic interaction emerges between these two alterations under this experimental condition?"
CAF120,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae strains harboring concurrent mutations in CAF120 and RPD3 subjected to bleomycin treatment, what synthetic genetic effect is observed?","In Saccharomyces cerevisiae strains harboring concurrent mutations in CAF120 and RPD3 subjected to bleomycin treatment, what synthetic genetic effect is observed?"
CAF120,MEU1,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of CAF120 and MEU1 influence genetic interaction dynamics?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of CAF120 and MEU1 influence genetic interaction dynamics?"
YLL032C,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, when both YLL032C and RPD3 are concurrently mutated and the cells are exposed to bleomycin, how does their interaction influence the overall phenotype compared to individual gene alterations?","In Saccharomyces cerevisiae, when both YLL032C and RPD3 are concurrently mutated and the cells are exposed to bleomycin, how does their interaction influence the overall phenotype compared to individual gene alterations?"
NUC1,RAD51,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, what synthetic genetic interplay emerges when both NUC1 and RAD51 are concurrently inactivated during exposure to bleomycin?","In Saccharomyces cerevisiae, what synthetic genetic interplay emerges when both NUC1 and RAD51 are concurrently inactivated during exposure to bleomycin?"
NUC1,CHD1,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of NUC1 and CHD1 influence the cell's genetic interactions?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of NUC1 and CHD1 influence the cell's genetic interactions?"
RCL1,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae carrying mutations in RCL1 and RAD51 and exposed to bleomycin, how does the interaction between these gene alterations manifest under this treatment?","In Saccharomyces cerevisiae carrying mutations in RCL1 and RAD51 and exposed to bleomycin, how does the interaction between these gene alterations manifest under this treatment?"
PET309,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of PET309 and DST1 influence cellular outcomes, and what interaction between these gene defects can be observed?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of PET309 and DST1 influence cellular outcomes, and what interaction between these gene defects can be observed?"
PET309,DUN1,BLEO,non-sl,"In Saccharomyces cerevisiae with simultaneous mutations in PET309 and DUN1, when cells are exposed to bleomycin, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae with simultaneous mutations in PET309 and DUN1, when cells are exposed to bleomycin, what synthetic genetic interaction is observed?"
CCH1,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both CCH1 and DST1 are disrupted and cells are exposed to bleomycin, how do these gene alterations interact to affect cell viability and function?","In Saccharomyces cerevisiae, when both CCH1 and DST1 are disrupted and cells are exposed to bleomycin, how do these gene alterations interact to affect cell viability and function?"
NUP84,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both NUP84 and DST1 are concurrently mutated and the cells are exposed to bleomycin, what phenotypic interaction would you anticipate?","In Saccharomyces cerevisiae, when both NUP84 and DST1 are concurrently mutated and the cells are exposed to bleomycin, what phenotypic interaction would you anticipate?"
NUP84,JHD2,BLEO,non-sl,"In Saccharomyces cerevisiae, when cells harbor concurrent mutations in NUP84 and JHD2 and are exposed to bleomycin, could you detail the resultant genetic interplay?","In Saccharomyces cerevisiae, when cells harbor concurrent mutations in NUP84 and JHD2 and are exposed to bleomycin, could you detail the resultant genetic interplay?"
YML048W-A,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae experiments where gene YML048W-A and gene DST1 are concurrently disrupted and cells are exposed to bleomycin, what synthetic genetic interaction emerges between these mutations?","In Saccharomyces cerevisiae experiments where gene YML048W-A and gene DST1 are concurrently disrupted and cells are exposed to bleomycin, what synthetic genetic interaction emerges between these mutations?"
ACF2,RSC2,BLEO,synthetic lethality,"In Saccharomyces cerevisiae treated with bleomycin, how does the simultaneous mutation of ACF2 and RSC2 influence cellular fitness and survival outcomes?","In Saccharomyces cerevisiae treated with bleomycin, how does the simultaneous mutation of ACF2 and RSC2 influence cellular fitness and survival outcomes?"
ACF2,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae, when both ACF2 and RAD51 are concurrently mutated under bleomycin treatment, what synthetic genetic interaction has been observed?","In Saccharomyces cerevisiae, when both ACF2 and RAD51 are concurrently mutated under bleomycin treatment, what synthetic genetic interaction has been observed?"
CPR4,RSC2,BLEO,non-sl,"In Saccharomyces cerevisiae, when both CPR4 and RSC2 are disrupted and the cells are treated with bleomycin, how do these mutations interact to influence the overall cellular phenotype?","In Saccharomyces cerevisiae, when both CPR4 and RSC2 are disrupted and the cells are treated with bleomycin, how do these mutations interact to influence the overall cellular phenotype?"
RTT109,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae cells harboring concurrent mutations in RTT109 and RPD3 under bleomycin treatment, what synthetic genetic interaction manifests between these gene alterations?","In Saccharomyces cerevisiae cells harboring concurrent mutations in RTT109 and RPD3 under bleomycin treatment, what synthetic genetic interaction manifests between these gene alterations?"
RTT109,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of RTT109 and SGS1 impact cellular phenotypes, and what synthetic genetic interplay is observed?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of RTT109 and SGS1 impact cellular phenotypes, and what synthetic genetic interplay is observed?"
PNS1,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of PNS1 and RPD3 alter the genetic interaction profile observed under these conditions?","In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of PNS1 and RPD3 alter the genetic interaction profile observed under these conditions?"
RPL13B,TEP1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae with concurrent mutations in RPL13B and TEP1, how does exposure to bleomycin affect the synthetic genetic interaction between these genes?","In Saccharomyces cerevisiae with concurrent mutations in RPL13B and TEP1, how does exposure to bleomycin affect the synthetic genetic interaction between these genes?"
RPL13B,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of RPL13B and SGS1 affect cellular phenotype when the cells are exposed to bleomycin, and what synthetic genetic interaction might be inferred from these results?","In Saccharomyces cerevisiae, how does the concurrent mutation of RPL13B and SGS1 affect cellular phenotype when the cells are exposed to bleomycin, and what synthetic genetic interaction might be inferred from these results?"
FLC2,TEP1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the co-mutation of FLC2 and TEP1 affect cellular phenotypes when cells are challenged with bleomycin?","In Saccharomyces cerevisiae, how does the co-mutation of FLC2 and TEP1 affect cellular phenotypes when cells are challenged with bleomycin?"
ELP4,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae cells harboring mutations in both ELP4 and RPD3, and exposed to bleomycin, what cellular outcome would suggest a synthetic genetic interaction between these two genes?","In Saccharomyces cerevisiae cells harboring mutations in both ELP4 and RPD3, and exposed to bleomycin, what cellular outcome would suggest a synthetic genetic interaction between these two genes?"
ELP4,HO,BLEO,non-sl,"In Saccharomyces cerevisiae, considering a concurrent mutation of ELP4 and HO under bleomycin treatment, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, considering a concurrent mutation of ELP4 and HO under bleomycin treatment, what synthetic genetic interaction is observed?"
PUS9,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae subjected to bleomycin, how does the simultaneous mutation of PUS9 and RPD3 influence cellular phenotypes, and what synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae subjected to bleomycin, how does the simultaneous mutation of PUS9 and RPD3 influence cellular phenotypes, and what synthetic genetic interaction emerges under these conditions?"
RSM18,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, if we create a strain harboring mutations in both RSM18 and DST1 and subsequently treat it with bleomycin, what synthetic genetic interplay should we expect to observe?","In Saccharomyces cerevisiae, if we create a strain harboring mutations in both RSM18 and DST1 and subsequently treat it with bleomycin, what synthetic genetic interplay should we expect to observe?"
RSM18,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of RSM18 and SGS1 influence genetic interactions when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of RSM18 and SGS1 influence genetic interactions when the cells are exposed to bleomycin?"
YLR232W,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, how do mutations in YLR232W and DST1 together impact cellular responses when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how do mutations in YLR232W and DST1 together impact cellular responses when the cells are exposed to bleomycin?"
YDR230W,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the simultaneous mutation of YDR230W and RPD3 affect cellular behavior when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous mutation of YDR230W and RPD3 affect cellular behavior when cells are exposed to bleomycin?"
YDR230W,CHD1,BLEO,non-sl,"In Saccharomyces cerevisiae, we created a double mutant combining disruptions in YDR230W and CHD1, and then exposed these cells to bleomycin. Could someone explain the nature of the genetic interaction observed under these conditions?","In Saccharomyces cerevisiae, we created a double mutant combining disruptions in YDR230W and CHD1, and then exposed these cells to bleomycin. Could someone explain the nature of the genetic interaction observed under these conditions?"
PEX14,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, what is the resulting synthetic genetic interaction observed when both PEX14 and RPD3 are concurrently mutated?","In Saccharomyces cerevisiae treated with bleomycin, what is the resulting synthetic genetic interaction observed when both PEX14 and RPD3 are concurrently mutated?"
PHA2,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of PHA2 and RPD3 influence cellular responses when the cells are subjected to bleomycin treatment?","In Saccharomyces cerevisiae, how does the concurrent mutation of PHA2 and RPD3 influence cellular responses when the cells are subjected to bleomycin treatment?"
PHA2,BLM10,BLEO,non-sl,"In Saccharomyces cerevisiae, when loss-of-function mutations in both PHA2 and BLM10 are introduced and the cells are exposed to bleomycin, what genetic interplay is evident under these conditions?","In Saccharomyces cerevisiae, when loss-of-function mutations in both PHA2 and BLM10 are introduced and the cells are exposed to bleomycin, what genetic interplay is evident under these conditions?"
CDC21,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae with concurrent mutation of CDC21 and RPD3 subjected to bleomycin treatment, could you explain the genetic interplay observed between these mutations?","In Saccharomyces cerevisiae with concurrent mutation of CDC21 and RPD3 subjected to bleomycin treatment, could you explain the genetic interplay observed between these mutations?"
ULP1,RAD1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, how does the simultaneous mutation of ULP1 and RAD1 influence cellular viability and genetic pathway dynamics?","In Saccharomyces cerevisiae exposed to bleomycin, how does the simultaneous mutation of ULP1 and RAD1 influence cellular viability and genetic pathway dynamics?"
ULP1,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when ULP1 and SGS1 are concurrently mutated and the cells are exposed to bleomycin, what type of synthetic genetic interaction is observed under these experimental conditions?","In Saccharomyces cerevisiae, when ULP1 and SGS1 are concurrently mutated and the cells are exposed to bleomycin, what type of synthetic genetic interaction is observed under these experimental conditions?"
YFR024C,RAD1,BLEO,non-sl,"In Saccharomyces cerevisiae, when mutations in YFR024C and RAD1 are both present and cells are exposed to bleomycin, what synthetic genetic interaction would be evident?","In Saccharomyces cerevisiae, when mutations in YFR024C and RAD1 are both present and cells are exposed to bleomycin, what synthetic genetic interaction would be evident?"
